@relation synapseA-weka.filters.supervised.instance.Resample-B1.0-S1-Z44.07583-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
8,18,8,7,0.5,0.8,FALSE
11,29,3,11,0,4,FALSE
8,11,1,6,1,0.3333,FALSE
12,65,3,11,0.5,7,FALSE
6,26,0,3,1,4.2,FALSE
11,48,7,9,0.666667,1.8,FALSE
12,19,6,8,1,3.2,FALSE
16,24,8,7,0.5,1.2,FALSE
17,31,245,4,0.666667,1.3462,FALSE
6,10,22,3,0.666667,0.8889,FALSE
22,33,7,5,1,2.3333,FALSE
10,20,13,10,0.8,0.6667,FALSE
10,28,9,9,0.5,0.6667,FALSE
14,35,13,14,0.333333,1.5,FALSE
11,28,1,11,1,2.6667,FALSE
12,14,0,12,1,2,FALSE
12,32,17,11,0.333333,2.8571,FALSE
13,39,28,13,0.666667,1.4444,FALSE
10,23,4,10,1,4,FALSE
9,2,1,1,0,1,FALSE
13,22,2,12,1,1.75,FALSE
8,18,0,6,1,3,FALSE
8,24,3,8,0,2.6667,FALSE
7,17,8,5,0.666667,1.6,FALSE
10,18,8,10,0.666667,1,FALSE
4,8,28,0,0,1,FALSE
10,2,1,2,0,1,FALSE
17,79,1,15,0.857143,2.7273,FALSE
12,29,2,12,1,2.25,FALSE
5,9,4,5,1,0.5,FALSE
13,28,2,13,1,1.5,FALSE
9,38,4,9,1,5.4,FALSE
10,21,13,10,0.333333,1.1667,FALSE
7,9,1,7,0,0.5,FALSE
8,31,3,6,0.181818,1.1429,FALSE
10,30,2,10,1,4.25,FALSE
19,32,9,4,1,2.8571,FALSE
17,42,28,17,0.666667,1.5556,FALSE
2,28,87,1,1,0.9444,FALSE
12,22,3,10,1,3.3333,FALSE
12,32,0,10,1,2,FALSE
43,7,21,1,0,1,FALSE
4,18,13,4,1,0.6667,FALSE
14,17,10,2,0,2,FALSE
7,2,1,2,0,1,FALSE
18,46,14,16,1,2.25,FALSE
20,37,13,19,0.5,1.8333,FALSE
10,35,3,9,1,1,FALSE
74,4,6,1,0,1,FALSE
8,18,4,6,0.666667,1.5,FALSE
18,70,143,17,0,2.2174,FALSE
8,14,1,8,0,0.5,FALSE
6,7,0,3,1,1.6667,FALSE
11,45,22,11,1,0.7778,FALSE
2,7,1,1,0,1.3333,FALSE
7,23,16,4,0.75,1,FALSE
8,4,6,2,0,1,FALSE
5,9,4,5,1,0.5,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
8,24,3,8,0,2.6667,FALSE
10,20,0,7,1,0.8333,FALSE
4,3,3,2,0,1,FALSE
11,24,4,8,0,4.25,FALSE
5,9,4,5,1,0.5,FALSE
29,76,172,17,0.714286,1.875,FALSE
7,19,2,7,1,1,FALSE
22,21,4,9,1,2.25,FALSE
8,17,9,5,1,1.8571,FALSE
10,25,3,10,0,3.6667,FALSE
10,33,28,10,0.666667,1.2222,FALSE
9,22,3,9,0,3.3333,FALSE
21,47,0,19,1,1.6,FALSE
14,45,10,12,1,1.4615,FALSE
14,35,0,7,1,1.5,FALSE
14,14,1,10,0,3.5,FALSE
13,60,65,10,0.454545,1.8889,FALSE
13,24,13,13,0.333333,1.3333,FALSE
0,2,0,0,0,0,FALSE
19,70,53,13,0.666667,1.4286,FALSE
6,22,0,3,1,3,FALSE
16,49,6,14,0.666667,3.4167,FALSE
11,65,41,11,1,2.7273,FALSE
11,13,15,11,0,0.8333,FALSE
1,8,0,0,1,1.4286,FALSE
6,26,0,3,1,4.2,FALSE
5,28,1,3,0,2.5,FALSE
9,22,3,9,0,4,FALSE
4,2,1,2,0,1,FALSE
16,50,59,15,0.875,1.0667,FALSE
11,27,1,9,1,3.6667,FALSE
14,30,0,12,1,4.75,FALSE
