@relation luceneA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z93.84615385-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,2,0,2,0,0,FALSE
6,16,0,2,0,1,FALSE
7,14,0,1,7,1,FALSE
13,30,0,6,11,1,FALSE
3,4,3,1,3,0,FALSE
2,4,1,1,1,0,FALSE
2,3,1,1,2,0,FALSE
4,6,6,3,3,0,FALSE
6,33,3,16,6,1,FALSE
5,18,0,1,5,0,FALSE
15,41,25,5,7,0.846154,FALSE
2,7,1,0,2,0,FALSE
7,27,1,8,6,1,FALSE
10,10,45,0,10,0,FALSE
2,5,1,3,2,0,FALSE
2,12,1,7,1,0,FALSE
5,6,0,0,0,0,FALSE
6,10,15,3,6,0,FALSE
14,25,3,1,13,0,FALSE
15,54,41,11,10,0.533333,FALSE
5,6,0,0,0,0,FALSE
5,6,10,3,0,0,FALSE
14,24,69,13,12,0.571429,FALSE
3,7,3,4,3,0,FALSE
5,6,10,3,0,0,FALSE
5,14,0,4,0,0.333333,FALSE
2,4,1,1,1,0,FALSE
2,5,1,0,1,0,FALSE
5,8,8,0,3,0,FALSE
7,32,1,1,6,1,FALSE
16,24,0,2,12,1,FALSE
5,13,0,5,4,0.5,FALSE
5,14,0,4,0,0.333333,FALSE
3,4,3,2,1,0,FALSE
14,29,53,4,6,1,FALSE
2,4,1,2,0,0,FALSE
6,12,1,11,6,1,FALSE
2,7,1,0,2,0,FALSE
5,18,0,1,4,0.4,FALSE
5,6,10,4,2,0,FALSE
5,12,0,1,0,0,FALSE
15,43,0,7,11,1,FALSE
8,25,22,0,6,1,FALSE
13,23,58,11,11,0.578947,FALSE
12,13,0,0,8,1,FALSE
2,9,1,6,0,0,FALSE
14,22,61,1,13,0,FALSE
3,7,3,5,2,0,FALSE
2,3,1,1,2,0,FALSE
14,25,3,1,13,0,FALSE
4,5,0,3,3,0.666667,FALSE
4,8,4,2,2,1,FALSE
1,1,0,1,1,0,FALSE
9,51,14,6,5,0.75,FALSE
6,6,15,0,6,0,FALSE
6,28,0,8,6,1,FALSE
1,2,0,0,1,0,FALSE
7,27,1,8,6,1,FALSE
5,10,0,2,4,1,FALSE
22,38,153,4,7,0.114286,FALSE
15,34,0,19,14,0.5,TRUE
6,14,15,5,5,0,TRUE
5,14,4,1,4,0.666667,TRUE
12,46,0,7,12,1,TRUE
10,41,7,12,9,0.5,TRUE
2,6,0,3,2,1,TRUE
11,11,55,12,11,0,TRUE
2,4,0,1,1,1,TRUE
4,6,6,3,3,0,TRUE
17,39,0,2,17,0.5,TRUE
2,3,1,1,2,0,TRUE
19,48,71,6,7,1,TRUE
3,4,3,0,3,0,TRUE
5,20,0,6,5,1,TRUE
1,1,0,0,0,0,TRUE
28,61,0,16,17,1,TRUE
16,55,98,14,4,0.75,TRUE
14,17,91,0,14,0,TRUE
3,13,1,10,3,0,TRUE
6,14,15,5,5,0,TRUE
6,29,0,6,0,0.727273,TRUE
5,10,0,2,4,1,TRUE
8,17,0,5,4,1,TRUE
10,37,0,4,9,1,TRUE
11,19,41,0,10,1,TRUE
16,41,10,9,15,0,TRUE
8,27,18,1,6,1,TRUE
2,3,1,1,2,0,TRUE
36,52,282,4,7,0.210526,TRUE
2,10,1,5,2,1,TRUE
35,103,317,16,28,0.888889,TRUE
27,84,193,16,21,1,TRUE
10,18,0,2,10,1,TRUE
2,8,1,6,0,0,TRUE
15,29,15,8,11,0.7,TRUE
20,52,86,14,9,1,TRUE
2,9,1,6,0,0,TRUE
7,12,1,0,6,1,TRUE
10,42,7,12,9,0.5,TRUE
12,12,66,0,12,0,TRUE
13,22,0,0,10,0,TRUE
4,39,0,6,0,0.5,TRUE
6,14,13,0,5,0,TRUE
15,50,0,18,13,1,TRUE
27,64,171,11,22,1,TRUE
14,38,43,7,14,1,TRUE
14,38,0,6,11,1,TRUE
10,34,1,4,8,1,TRUE
6,29,0,7,0,0.666667,TRUE
3,8,3,0,0,0,TRUE
7,22,9,6,6,0.333333,TRUE
7,13,15,3,7,1,TRUE
7,22,9,6,6,0.333333,TRUE
9,18,0,3,8,1,TRUE
18,44,0,4,4,0.461538,TRUE
2,3,1,0,0,0,TRUE
8,22,0,6,6,1,TRUE
4,5,6,1,4,0,TRUE
7,17,5,4,5,1,TRUE
10,10,45,10,10,0,TRUE
15,18,103,0,15,1,TRUE
