@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z114.2857143

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,17,1,2,0.285714,FALSE
8,41,14,2,0.461538,FALSE
8,41,14,2,0.461538,FALSE
4,19,3,2,0,FALSE
8,41,14,2,0.461538,FALSE
12,12,4,12,0,FALSE
4,5,2,4,0,FALSE
6,6,1,6,0,FALSE
7,13,1,7,0,TRUE
5,6,2,5,0,TRUE
5,6,2,5,0,TRUE
7,13,1,7,0,TRUE
6,25,4,1,0.75,TRUE
7,13,1,7,0,TRUE
5,6,2,5,0,TRUE
27,80,10,22,0.055556,TRUE
