@relation propA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N100-F100-weka.filters.supervised.instance.Resample-B1.0-S1-Z23.75809935-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
0,29,0,0,115,0,0,0.5,37.333333,1,0.6667,FALSE
9,18,0,9,81,1,0.933333,0.75,39,10,5,FALSE
9,13,0,9,52,0,0.941176,0.555556,11.25,1,0.5,FALSE
22,32,0,22,102,0,0.8,0.666667,50,1,0.5,FALSE
8,11,0,8,51,0,0,0.666667,24.5,3,1.5,FALSE
4,11,1,3,52,0,0,0.333333,15.666667,2,1.3333,FALSE
6,1,6,0,1,0,0,1,0,1,1,FALSE
2,9,2,1,143,0,0,0.36,21,8,3,FALSE
5,2,5,0,2,0,0,0.75,0,1,1,FALSE
23,44,1,22,193,0,0.833333,0.416667,62.333333,6,2.6667,FALSE
19,73,1,19,1040,0.5,0.842105,0.309091,44.130435,11,2.4348,FALSE
1,3,0,1,7,0,0.97561,1,2.5,1,0.5,FALSE
13,17,1,12,69,0,0.875,0.625,33.5,5,2.5,FALSE
26,38,4,22,189,0,0.929825,0.733333,30,1,0.6667,FALSE
15,60,2,13,865,0.5,0.820513,0.25,94.444444,66,11.1111,FALSE
8,7,0,8,19,0,0.857143,0.666667,5.333333,1,0.6667,FALSE
5,6,0,5,61,0,1,0.8,19.333333,0,0,FALSE
10,18,0,10,108,1,0.933333,0.75,52.5,10,5,FALSE
16,38,1,15,163,0,0.965517,0.555556,39,1,0.5,FALSE
24,19,0,24,142,0,0.9375,0.625,70,1,0.5,FALSE
4,9,1,3,31,0,0,0.333333,9,2,1,FALSE
12,23,1,11,178,0.25,0.931818,0.625,33.8,1,0.6,FALSE
22,67,0,22,1021,0.833333,0.6,0.241758,71.071429,9,3,FALSE
9,34,0,9,105,0,0,0.549451,7.076923,1,0.9231,FALSE
11,9,0,11,30,0,0.857143,0.625,14,1,0.5,FALSE
1,5,0,1,11,0,0.981481,1,2.666667,1,0.6667,FALSE
9,13,1,8,97,0,0,0.75,47.5,10,5,FALSE
13,16,1,12,60,0,0.88,0.666667,10.4,1,0.6,FALSE
22,42,1,21,263,0,0.962264,0.555556,64,1,0.5,FALSE
4,5,0,4,23,0,0.666667,0.625,10.5,1,0.5,FALSE
6,10,1,5,44,0.666667,0,0.666667,19.5,2,1,FALSE
2,16,0,2,128,0.666667,0,1,40.666667,2,0.6667,FALSE
17,26,3,15,121,0.4,0,0.333333,7.923077,2,1.0769,FALSE
11,16,1,10,55,0,0.857143,0.733333,7.666667,2,0.8333,FALSE
1,5,0,1,11,0,0.981481,1,2.666667,1,0.6667,FALSE
11,18,0,11,68,0,0.857143,0.666667,33,5,2.5,FALSE
21,24,0,21,90,0,0.888889,0.666667,16.4,1,0.6,FALSE
19,49,3,16,296,0,0.9375,0.457143,35.625,1,0.75,FALSE
9,24,0,9,113,0,0,0.625,54.5,6,3,FALSE
1,8,1,0,34,1,0,0.714286,3.428571,1,0.8571,FALSE
9,13,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
10,15,1,9,55,0,0.875,0.666667,26.5,4,2,FALSE
23,25,1,22,96,0,0.884615,0.666667,17.6,1,0.6,FALSE
15,10,0,15,40,0,0.8,0.666667,19,1,0.5,FALSE
12,12,0,12,59,0,0.875,0.625,28.5,6,3,FALSE
8,14,0,8,46,0.5,0.947368,0.666667,13.666667,2,0.6667,FALSE
11,11,2,9,36,1,0.903226,0.4375,7.75,1,0.75,FALSE
21,74,0,21,1650,0.625,0.529412,0.343137,89.777778,15,3.1111,FALSE
1,5,0,1,20,0,0,0,12,0,0,FALSE
8,13,0,8,59,1,0.928571,0.75,28,5,2.5,FALSE
14,29,0,14,103,1,0,0.305556,10.333333,3,1.2222,FALSE
16,24,0,16,70,0,0,0.666667,34,3,1.5,FALSE
9,14,0,9,63,1,0.961538,0.666667,30,5,2.5,FALSE
4,6,0,4,14,0,0.777778,0.583333,3.666667,1,0.6667,FALSE
8,103,6,3,1634,0.126761,0,0.216949,25.05,15,2.5,TRUE
14,23,0,14,116,0,0.875,0.625,57,1,0.5,TRUE
7,11,0,7,45,0,0.875,0.625,21.5,3,1.5,TRUE
13,48,1,12,275,0,0,0.333333,21.916667,6,2.5,TRUE
56,129,0,56,1720,0,0.425,0.158333,70.583333,9,2.2917,TRUE
1,2,0,1,4,0,1,1,3,0,0,TRUE
11,12,0,11,47,0,0.8,0.666667,22,1,0.5,TRUE
10,4,5,5,18,1,0.98,0.571429,7.5,1,0.5,TRUE
15,30,0,15,173,0.666667,0.9,0.555556,40.75,5,1.5,TRUE
0,5,0,0,36,0,0,0,12,0,0,TRUE
13,12,0,13,39,0,0.875,0.625,18.5,4,2,TRUE
4,8,1,3,32,0.5,0.933333,0.625,9,1,0.3333,TRUE
37,82,1,37,519,0,0.565217,0.25974,46,15,3.2727,TRUE
124,84,86,38,586,0.333333,0.770833,0.322917,43.846154,8,1.9231,TRUE
8,13,0,8,52,0,0.875,0.625,25,4,2,TRUE
16,35,0,16,151,0,0,0.777778,49,3,1.3333,TRUE
21,53,0,21,392,0.333333,0.857143,0.666667,128.666667,28,9.3333,TRUE
14,21,0,14,92,0,0.5,0.666667,45,5,2.5,TRUE
