@relation velocityA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
4,4,1.2,0.915254,0.366667,2,4,FALSE
4,6,0.85,0.947368,0.5,3,3,FALSE
4,4,2,0.964286,0.5,3,3,FALSE
2,3,2,0.965517,0.533333,0,0,FALSE
4,8,0,0.964286,0.666667,3,3,FALSE
3,8,0.555556,0.793103,0.38,1,4,FALSE
1,12,0.666667,0,0.416667,0,0,TRUE
1,1,2,0,0.75,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
1,5,2,0,0.5,0,0,TRUE
1,7,0.75,0,0.257576,0,0,TRUE
1,11,0.7,0,0.192982,0,0,TRUE
4,44,0.666667,0.764706,0.533333,0,0,TRUE
2,22,0.764423,0.7,0.253968,1,2,TRUE
1,29,2,0,0.149091,0,0,TRUE
1,1,2,0,0,0,0,TRUE
2,3,2,0.987179,0.666667,1,1,TRUE
2,10,2,0.941176,1,1,1,TRUE
2,9,0.666667,0.7,0.4375,1,1,TRUE
2,4,0,0.977273,0.625,0,0,TRUE
1,58,2,0,0,0,0,TRUE
