@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z110.0436681

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
22,35,169,20,0.946779,316,0.352941,0.443182,6,12.590909,TRUE
22,34,141,20,0.957393,423,0.315789,0.443182,6,17.363636,TRUE
9,13,36,9,1.125,62,0,0.333333,0,5.666667,TRUE
10,18,45,8,1.111111,86,0,0.525,6,7.5,TRUE
10,14,45,10,1.111111,67,0.333333,0.32,0,5.4,TRUE
9,13,36,9,1.125,58,0,0.333333,0,5.333333,TRUE
25,67,22,22,0.5,961,0,0.244444,5,37.36,TRUE
16,31,102,11,0.933333,9857,0.75,0.190476,0,614.5625,TRUE
3,12,3,3,2,121,0,0.583333,0,39.333333,TRUE
11,22,35,9,0.8,119,0.5,0.418182,6,9.636364,TRUE
17,29,110,15,0.833333,232,0.833333,0.470588,6,12.294118,TRUE
13,35,60,8,0.333333,618,0.666667,0.212963,0,46.307692,TRUE
13,24,64,11,0.833333,144,0.75,0.5,6,9.769231,TRUE
11,21,49,9,0.85,106,0.5,0.522727,6,8.454545,TRUE
11,21,43,9,0.85,117,0.5,0.418182,6,9.454545,TRUE
24,42,0,22,0.818182,423,0.636364,0.291667,6,16.166667,TRUE
15,39,49,13,0.75,369,0.5,0.516667,6,23.466667,TRUE
22,51,89,22,0.721088,417,0.857143,0.233766,2,17.636364,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
11,21,49,9,0.85,112,0.5,0.418182,6,9,TRUE
11,21,49,9,0.85,112,0.5,0.418182,6,9,TRUE
86,300,2749,48,0.914286,3446,1,0.16732,0,38.906977,TRUE
13,27,46,11,0.777778,201,0.333333,0.333333,6,14.230769,TRUE
14,26,69,12,0.74359,187,0.666667,0.321429,6,12.142857,TRUE
16,31,102,11,0.933333,9849,0.75,0.190476,0,614.0625,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
11,21,49,9,0.933333,107,0.333333,0.522727,6,8.454545,TRUE
23,39,39,21,0.772727,382,0.875,0.356522,6,15.26087,TRUE
14,26,69,12,0.74359,188,0.666667,0.321429,6,12.214286,TRUE
14,24,77,11,0.876923,202,0.8,0.517857,5,13.071429,TRUE
7,7,21,7,2,7,0,0.4,0,0,TRUE
22,41,159,18,0.702381,325,0.75,0.266234,6,13.590909,TRUE
22,47,175,20,0.630952,475,0,0.30303,5,20.409091,TRUE
9,17,36,7,1.125,72,0,0.555556,6,6.888889,TRUE
4,16,4,4,0.333333,82,0,0.416667,0,19.25,TRUE
29,53,100,28,0.75,556,0.888889,0.221675,2,17.862069,TRUE
13,23,66,11,0.805556,140,0.666667,0.5,6,9.538462,TRUE
15,39,49,13,0.75,369,0.5,0.516667,6,23.466667,TRUE
29,53,100,28,0.75,556,0.888889,0.221675,2,17.862069,TRUE
9,17,2,6,0.6875,145,0.75,0.527778,6,14.666667,TRUE
