@relation luceneA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z106.1538462

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,2,1,2,2,0,FALSE
9,14,8,2,6,1,FALSE
2,4,1,1,1,0,FALSE
15,22,0,1,14,0.285714,FALSE
13,39,72,7,12,1,FALSE
2,5,1,0,0,0,FALSE
2,7,1,0,2,0,FALSE
6,6,15,4,6,0,FALSE
6,20,5,4,5,0,FALSE
4,6,0,0,2,0.125,FALSE
2,5,1,0,0,0,FALSE
2,4,1,1,1,0,FALSE
4,8,4,2,2,1,FALSE
5,6,10,3,0,0,FALSE
2,2,1,2,2,0,FALSE
2,16,0,5,1,1,FALSE
3,4,3,1,0,0,FALSE
6,18,5,0,1,0.5,FALSE
1,2,0,0,1,0,FALSE
2,4,1,2,0,0,FALSE
4,10,0,2,0,1,FALSE
1,2,0,0,1,0,FALSE
1,2,0,3,0,0,FALSE
14,24,69,13,12,0.571429,FALSE
17,33,42,1,10,0.625,FALSE
14,24,69,13,12,0.571429,FALSE
2,2,1,2,2,0,FALSE
14,25,3,1,13,0,FALSE
8,8,28,2,8,0,FALSE
4,10,0,2,0,1,FALSE
2,4,1,1,1,0,FALSE
8,8,28,2,8,0,FALSE
11,21,1,4,9,1,FALSE
3,13,1,10,3,0,FALSE
1,2,0,2,0,0,FALSE
12,33,12,12,8,0.866667,FALSE
6,6,15,0,6,0,FALSE
7,10,21,0,7,0,FALSE
11,20,15,4,9,1,FALSE
5,12,0,1,0,0,FALSE
6,12,1,11,6,1,FALSE
9,51,14,6,5,0.75,FALSE
15,54,41,11,10,0.533333,FALSE
5,7,10,6,4,0,FALSE
14,29,53,4,6,1,FALSE
14,25,3,1,13,0,FALSE
6,14,0,1,5,0,FALSE
5,6,10,3,0,0,FALSE
3,17,1,4,2,1,FALSE
15,54,41,11,10,0.533333,FALSE
2,4,1,1,1,0,FALSE
2,16,0,5,1,1,FALSE
3,4,3,1,3,0,FALSE
10,18,0,2,10,1,FALSE
5,18,0,1,4,0.4,FALSE
7,15,0,8,6,0.5,FALSE
7,14,0,1,7,1,FALSE
2,4,0,1,1,1,FALSE
17,33,42,1,10,0.625,FALSE
6,6,15,0,6,0,FALSE
9,51,14,6,5,0.75,FALSE
5,7,10,6,4,0,FALSE
5,12,0,1,0,0,FALSE
6,6,15,4,6,0,FALSE
15,22,0,1,14,0.285714,FALSE
2,4,1,1,1,0,FALSE
2,9,1,6,0,0,FALSE
1,1,0,0,0,0,FALSE
7,20,5,8,3,0,FALSE
3,7,3,5,2,0,FALSE
8,15,0,2,0,1,FALSE
3,9,3,3,0,0,FALSE
12,33,12,12,8,0.866667,FALSE
4,8,4,2,2,1,FALSE
2,4,1,3,2,0,FALSE
13,31,0,14,13,1,FALSE
4,18,0,0,3,0.5,FALSE
1,1,0,2,1,0,FALSE
7,8,21,3,0,0,FALSE
5,12,0,1,0,0,FALSE
5,6,10,4,2,0,FALSE
