@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z119.4630872

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,25,3,2,0,FALSE
10,42,6,6,1,FALSE
9,37,4,7,0,FALSE
5,31,7,2,0,FALSE
4,20,5,4,0,FALSE
3,14,0,2,0,FALSE
7,24,2,2,0,FALSE
6,9,2,6,0,FALSE
4,25,4,2,0,FALSE
6,6,1,6,0,FALSE
4,11,2,2,0,FALSE
5,16,0,2,0,FALSE
4,15,1,4,0,FALSE
4,11,0,2,0,FALSE
4,20,5,4,0,FALSE
2,4,3,1,0,FALSE
1,1,1,1,0,FALSE
8,42,7,2,0,FALSE
7,26,2,2,0,FALSE
4,10,0,3,0,FALSE
6,10,2,2,0,FALSE
10,35,5,7,0,FALSE
2,6,4,1,0,FALSE
1,1,1,1,0,FALSE
4,11,2,2,0,FALSE
2,5,4,1,0,FALSE
1,1,0,1,0,FALSE
1,1,1,1,0,FALSE
5,14,1,2,0,FALSE
7,13,1,7,0,FALSE
4,20,5,4,0,FALSE
5,14,1,2,0,FALSE
1,1,1,1,0,FALSE
3,6,3,3,0,FALSE
6,25,3,2,0,FALSE
7,24,2,2,0,FALSE
6,9,2,6,0,FALSE
7,30,6,2,0,FALSE
4,9,1,2,0.25,FALSE
5,15,0,1,0,FALSE
7,13,1,7,0,FALSE
4,20,5,4,0,FALSE
3,7,0,3,1,FALSE
6,25,3,2,0,FALSE
4,27,7,2,0,FALSE
1,3,1,0,0,FALSE
2,2,1,2,0,FALSE
4,12,2,2,0,FALSE
4,5,2,4,0,FALSE
6,25,3,2,0,FALSE
7,29,4,2,0,FALSE
0,0,0,0,0,FALSE
7,26,2,2,0,FALSE
5,6,2,5,0,FALSE
5,14,0,2,0,FALSE
3,14,0,2,0,FALSE
7,13,1,7,0,FALSE
1,3,1,0,0,FALSE
4,12,2,2,0,FALSE
3,3,0,3,0,FALSE
4,10,0,3,0,FALSE
10,37,2,7,0,FALSE
8,24,6,8,0.555556,FALSE
2,20,3,2,0,FALSE
10,35,5,7,0,FALSE
9,37,4,7,0,FALSE
10,13,2,9,0,FALSE
5,9,2,5,1,FALSE
6,15,1,5,1,FALSE
3,6,3,3,0,FALSE
1,1,1,1,0,FALSE
