@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z89.95633188-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
23,40,0,21,0.838843,386,0.636364,0.297101,6,15.304348,TRUE
3,30,3,2,2,315,0,0.333333,0,104,TRUE
9,17,36,7,1.125,72,0,0.555556,6,6.888889,TRUE
21,53,176,16,0.725,353,0.75,0.3625,0,15.428571,TRUE
19,38,21,18,0.685185,284,0.833333,0.225564,2,13.631579,TRUE
11,22,43,9,0.85,117,0.5,0.522727,6,9.454545,TRUE
10,18,45,8,1.111111,87,0,0.525,6,7.6,TRUE
34,60,187,34,0.747475,728,0.888889,0.198529,3,20.147059,TRUE
0,0,0,0,2,9,0,0,0,0,TRUE
31,44,171,28,0.863889,406,0.916667,0.283333,6,11.709677,TRUE
11,21,43,9,0.85,117,0.5,0.418182,6,9.454545,TRUE
42,88,0,41,1,329,0.066667,0.304762,0,5.761905,TRUE
11,21,49,9,0.85,112,0.5,0.418182,6,9,TRUE
4,16,4,4,0.333333,82,0,0.416667,0,19.25,TRUE
18,40,103,16,0.848739,327,0,0.472222,6,16.777778,TRUE
22,34,213,20,0.75,330,0.75,0.310606,6,13.818182,TRUE
48,64,162,46,0.861702,891,0.95,0.325,6,17.145833,TRUE
12,165,62,5,0.818182,1358,0.5,0.239583,0,112,TRUE
14,26,69,12,0.74359,187,0.666667,0.321429,6,12.142857,TRUE
18,33,81,16,0.764706,308,0.8,0.305556,6,15.833333,TRUE
24,50,244,22,0.908213,402,0.444444,0.284722,5,15.375,TRUE
14,26,69,12,0.74359,188,0.666667,0.321429,6,12.214286,TRUE
29,53,100,28,0.75,556,0.888889,0.221675,2,17.862069,TRUE
11,21,43,9,0.85,117,0,0.418182,6,9.454545,TRUE
12,22,46,10,0.818182,127,0.5,0.4,6,9.416667,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
21,44,0,20,0.976667,153,0.133333,0.253968,0,5.571429,TRUE
48,65,694,45,0.911702,677,0.95,0.27305,6,12.6875,TRUE
9,43,28,6,0.6875,416,1,0.333333,0,45,TRUE
23,24,253,23,2,49,0,0.669565,2,1.130435,TRUE
14,24,77,11,0.876923,202,0.8,0.517857,5,13.071429,TRUE
11,21,43,9,0.85,117,0.5,0.418182,6,9.454545,TRUE
17,32,72,15,0.791667,282,0.833333,0.268908,6,15.235294,TRUE
54,140,651,7,0.766926,1806,0.705882,0.174004,0,32.12963,TRUE
20,32,114,18,0.894737,361,0.5,0.45,6,16.55,TRUE
26,46,153,24,0.8,501,0.888889,0.346154,6,17.923077,TRUE
9,13,36,9,1.125,64,0,0.333333,0,5.888889,TRUE
6,45,5,6,0.55,247,0,0.375,0,39.5,TRUE
48,117,0,39,0.832447,617,0.875,0.165957,0,11.6875,TRUE
21,30,198,19,0.921429,234,0.857143,0.361905,4,9.809524,TRUE
12,24,36,10,0.772727,143,0.5,0.4,6,10.75,TRUE
12,30,48,9,0.818182,322,1,0.5,0,25.25,TRUE
11,22,49,9,0.933333,106,0.333333,0.418182,6,8.363636,TRUE
5,7,4,5,0.5,29,1,0.6,0,4.6,TRUE
5,9,10,5,1.25,28,0,0.55,3,4.4,TRUE
4,16,4,4,0.333333,82,0,0.416667,0,19.25,TRUE
25,44,164,23,0.828704,412,0.888889,0.352,6,15.12,TRUE
4,17,0,3,0,116,1,0.5,0,27.75,TRUE
