@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
25,51,228,20,0.770833,419,0.833333,0.251429,6,15.52,FALSE
10,19,0,10,0,86,1,0.32,2,7.5,FALSE
27,42,209,24,0.846154,372,0.9,0.346154,6,12.407407,FALSE
6,6,15,6,2,6,0,0.583333,0,0,FALSE
11,21,9,11,0.25,92,1,0.454545,0,7.181818,FALSE
16,30,54,14,0.7,388,0,0.3625,1,23,FALSE
11,23,25,9,0.8,183,0.5,0.431818,6,15.272727,FALSE
1,1,0,1,2,1,0,1,0,0,FALSE
5,24,2,4,0.666667,117,0,0.36,0,21.8,FALSE
12,22,54,10,0.818182,117,0.5,0.5,6,8.583333,FALSE
0,0,0,0,2,41,0,0,0,0,FALSE
1,1,0,1,2,1,0,1,0,0,FALSE
8,15,4,5,0.428571,90,1,0.425,1,9.875,FALSE
4,4,6,4,2,4,0,0.666667,0,0,FALSE
32,65,290,18,0.962649,732,1,0.175781,0,20.6875,FALSE
9,13,36,9,1.125,62,0,0.333333,0,5.666667,FALSE
1,1,0,1,2,1,0,1,0,0,FALSE
1,1,0,1,2,1,0,1,0,0,FALSE
25,29,0,24,0.388889,629,1,0.36,1,24.04,FALSE
1,1,0,1,2,1,0,1,0,0,FALSE
7,51,3,6,0.083333,282,1,0.303571,0,39,FALSE
12,24,46,10,0.818182,141,0.5,0.5,6,10.583333,FALSE
3,10,0,3,0.25,78,1,0.666667,0,24.333333,FALSE
3,4,1,3,2,24,0,0.555556,0,7,FALSE
11,21,43,9,0.85,116,0.5,0.418182,6,9.363636,FALSE
6,56,15,6,1.2,923,1,0.666667,0,152.5,TRUE
18,33,81,16,0.764706,308,0.8,0.305556,6,15.833333,TRUE
84,269,2582,46,0.907322,3213,1,0.168675,0,37.095238,TRUE
36,52,366,34,0.865306,621,0.928571,0.282407,6,15.861111,TRUE
5,21,2,5,0.75,103,1,0.36,0,18.8,TRUE
2,8,1,2,2,28,0,0.5,0,13,TRUE
6,22,3,6,0.75,111,1,0.333333,0,16.833333,TRUE
28,42,312,26,0.796296,434,0.833333,0.21875,6,14.285714,TRUE
12,165,62,5,0.818182,1358,0.5,0.239583,0,112,TRUE
18,30,107,16,0.794118,259,0.833333,0.458333,6,13.055556,TRUE
38,87,349,18,0.888288,1625,0.933333,0.243421,7,41.368421,TRUE
6,28,15,3,2,191,0,0.333333,0,30.833333,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
11,21,49,9,0.933333,107,0.333333,0.522727,6,8.454545,TRUE
11,21,49,9,0.85,106,0.5,0.522727,6,8.454545,TRUE
11,21,49,9,0.85,106,0.5,0.522727,6,8.454545,TRUE
17,33,40,15,0.830357,250,0.571429,0.376471,6,13.294118,TRUE
47,63,193,45,0.879348,856,0.95,0.32766,6,16.787234,TRUE
8,20,26,3,1.047619,169,1,0.2,0,19.75,TRUE
12,30,48,9,0.818182,322,1,0.5,0,25.25,TRUE
