@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
4,7,0,3,3,0,29,0,0.666667,8.333333,FALSE
10,69,15,10,2,0.5,453,0,0.367347,63.571429,FALSE
10,25,6,9,2,1,183,0,0.5,44.5,FALSE
14,7,4,3,3,0.666667,22,1,0.5,4.25,FALSE
3,17,4,3,3,0.666667,152,0,0.75,36.75,FALSE
4,42,130,4,18,0.736842,376,1,0.284211,17.45,FALSE
19,10,3,5,3,2,38,0,0.583333,11.666667,FALSE
4,15,0,3,4,0.333333,109,0,0.5,25.75,FALSE
2,15,0,0,3,0.166667,100,0,0.666667,31.333333,FALSE
3,17,4,3,3,0.666667,152,0,0.75,36.75,FALSE
6,2,0,0,1,2,5,0,1,4,FALSE
5,25,3,5,1,1.5,191,0,1,62.333333,FALSE
20,13,7,3,3,0.4,56,1,0.433333,8,FALSE
5,15,0,1,4,0.5,137,0,0.9,25.2,FALSE
2,3,3,0,3,1.5,4,0,0.666667,0,FALSE
15,66,78,7,12,1.083333,476,0,0.207692,35.461538,FALSE
5,25,15,5,5,2,94,0,0.833333,14.666667,FALSE
6,13,0,1,5,0,69,0,0.533333,12.6,FALSE
10,60,145,9,26,0.648352,401,4,0.314815,13.592593,FALSE
21,11,8,1,5,0.75,59,0,0.7,10.6,FALSE
5,16,0,5,4,0.333333,95,0,0.75,22.25,FALSE
1,3,3,0,3,1.5,4,0,0.666667,0,FALSE
8,91,123,8,3,0.806723,1400,0,0.141176,76,FALSE
1,6,1,1,1,2,20,0,0.75,9,FALSE
3,26,53,0,9,0.9,725,1,0.26,64.818182,FALSE
10,37,0,10,6,0.628571,315,1,0.325,37.75,FALSE
18,94,220,18,18,0.877315,769,3,0.119048,25.892857,FALSE
5,4,6,1,4,2,4,0,0.875,0,FALSE
4,13,0,4,5,0.5,65,0,0.8,11.6,FALSE
12,36,0,12,4,0.525,375,3,0.4,40.111111,FALSE
1,8,0,1,6,0,43,1,0.666667,6,FALSE
4,4,1,4,1,2,11,0,0.666667,4.5,FALSE
19,91,802,14,40,0.943696,724,2,0.156818,15.022727,FALSE
6,17,6,6,5,0.75,94,0,0.6,17.4,FALSE
21,155,1670,21,59,0.917188,1504,5,0.244141,21.830769,FALSE
9,1,0,1,1,2,1,0,1,0,FALSE
5,6,15,1,6,2,6,0,0.444444,0,FALSE
3,7,1,3,2,2,23,0,1,10.5,FALSE
13,59,248,4,20,0.875,290,1,0.173333,10.36,FALSE
9,55,162,5,18,0.71,361,1,0.19375,15.952381,FALSE
9,26,1,8,2,2,248,0,1,123,FALSE
4,16,0,4,4,0.333333,59,0,0.875,13.5,FALSE
5,24,1,5,6,0.7,137,0,0.416667,21.166667,FALSE
6,9,1,5,2,2,33,0,1,15.5,FALSE
69,10,8,0,3,0.3125,69,1,0.583333,12,FALSE
24,8,3,0,7,0.666667,43,0,0.714286,4.714286,FALSE
5,19,1,4,5,0.52381,285,0,0.47619,38.714286,FALSE
2,33,4,1,5,0.673469,269,1,0.416667,31.75,FALSE
6,14,2,5,4,0.666667,68,1,0.5,15.5,FALSE
23,3,3,0,3,2,3,0,1,0,FALSE
15,56,86,12,6,0.8,372,2,0.226667,22.0625,FALSE
7,14,3,2,3,2,52,0,0.555556,16.333333,FALSE
13,25,0,9,7,0.458333,201,2,0.392857,27.142857,FALSE
4,9,3,3,3,2,27,0,0.555556,8,FALSE
9,50,21,9,1,2,686,0,0.714286,97,FALSE
7,14,0,3,2,0.25,92,1,0.555556,29,FALSE
10,31,18,10,4,0.809524,149,1,0.357143,17.25,FALSE
3,25,4,2,1,0.333333,183,0,0.583333,44.25,FALSE
6,8,0,0,7,0,89,0,0.428571,11.571429,FALSE
7,81,40,3,10,0.823864,1178,8,0.25,67,FALSE
1,6,1,1,1,2,20,0,0.75,9,FALSE
7,38,0,7,7,0.666667,262,0,0.342857,35.714286,FALSE
12,22,3,10,2,1.5,72,0,1,22.666667,FALSE
6,25,0,5,6,0.703704,251,1,0.375,23.2,FALSE
1,9,10,0,3,0.75,81,0,0.44,15,FALSE
8,25,14,7,8,0.714286,157,1,0.375,18.25,FALSE
1,18,0,0,3,0.5,96,0,0.533333,17.8,FALSE
3,14,5,1,4,0.8,131,0,0.2,20.166667,FALSE
10,23,3,8,6,0.666667,139,2,0.428571,18.285714,FALSE
6,14,3,2,3,2,52,0,0.555556,16.333333,FALSE
7,39,4,7,7,0.714286,277,0,0.46875,32.875,FALSE
11,28,0,6,8,0.693878,366,0,0.25,43.875,FALSE
4,2,1,2,2,2,2,0,0.75,0,FALSE
8,38,45,6,6,0.775,202,0,0.285714,17,FALSE
2,11,3,1,4,0.6,53,0,0.666667,7.5,FALSE
4,12,0,3,4,0.333333,70,0,0.5,16,FALSE
2,39,10,2,8,0.714286,265,0,0.325,31.625,FALSE
6,35,4,6,7,0.714286,265,0,0.46875,31.375,FALSE
4,32,2,4,4,0.666667,215,0,0.75,52.25,FALSE
1,13,6,1,4,2,45,0,0.625,10.25,FALSE
3,18,4,3,3,1,111,0,0.75,26.25,FALSE
3,19,0,3,2,0.75,104,0,0.666667,33,FALSE
6,15,0,2,4,0.333333,83,0,0.4375,19.5,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
12,15,13,4,11,0.75,97,3,0.220779,7.272727,FALSE
10,18,8,1,6,0.821429,160,1,0.377778,16,FALSE
4,39,22,3,6,0.785714,377,0,0.166667,45.875,FALSE
2,11,3,1,3,0.6,56,0,0.666667,8,FALSE
12,77,365,10,22,0.896552,717,3,0.204167,22.566667,FALSE
5,14,3,2,3,2,52,0,0.555556,16.333333,FALSE
21,71,43,16,17,0.727273,661,5,0.177778,35.111111,TRUE
7,33,65,7,14,0.910256,404,1,0.595238,27,TRUE
28,98,0,28,38,0.855556,890,0,0.080594,20.487805,TRUE
25,77,162,16,14,0.7375,566,4,0.135,25.380952,TRUE
23,68,151,9,17,1.039216,413,0,0.152778,21.611111,TRUE
14,61,19,13,8,0.809524,543,0,0.266667,52.6,TRUE
7,15,3,6,1,2,112,0,0.444444,36.333333,TRUE
