@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z162.162162

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
10,83,70,10,10,0.965517,1273,0,0.176471,72.176471,FALSE
4,40,330,2,2,0.781057,2014,1,0.20625,60.46875,FALSE
3,22,44,2,5,0.805195,156,1,0.261905,11.416667,FALSE
1,11,0,1,1,0.222222,68,1,0.5,15.25,FALSE
15,8,3,3,6,0.4,39,0,0.5,5.333333,FALSE
5,6,15,1,6,2,6,0,0.444444,0,FALSE
6,38,3,5,1,2,198,0,0.555556,65,FALSE
11,45,16,10,4,0.771429,216,0,0.270833,25.375,FALSE
10,44,0,10,14,0.730769,199,1,0.255102,12.928571,FALSE
3,9,3,2,2,2,43,0,0.666667,13.333333,FALSE
10,26,6,9,2,1,195,0,0.5,47.5,FALSE
2,35,38,0,17,0.631818,617,0,0.293651,27.857143,FALSE
2,29,0,2,5,0.64,1260,0,0.555556,208.166667,FALSE
9,26,1,8,2,2,248,0,1,123,FALSE
3,4,6,1,4,2,4,0,0.5,0,FALSE
8,12,2,2,5,0.625,49,0,0.466667,8.4,FALSE
8,23,4,8,5,0.75,249,0,0.8,48.2,FALSE
9,7,21,1,7,2,7,0,1,0,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
7,21,0,7,7,0.625,144,0,0.342857,19,FALSE
10,83,70,10,10,0.965517,1273,0,0.176471,72.176471,FALSE
18,40,23,16,19,0.688889,386,1,0.119298,19.052632,FALSE
8,32,15,6,10,0.666667,166,1,0.3,15.3,FALSE
11,23,10,10,4,1,130,0,0.5,24.8,FALSE
25,109,964,20,44,0.946302,819,4,0.154167,15.625,FALSE
0,0,0,0,0,2,0,0,0,0,FALSE
5,41,21,5,7,0.793651,360,0,0.45,34.3,FALSE
6,26,15,5,6,0.833333,237,0,0.285714,32.571429,FALSE
4,40,330,2,2,0.781057,2014,1,0.20625,60.46875,FALSE
8,37,60,8,7,0.833333,331,0,0.416667,24.076923,FALSE
4,13,0,3,4,0.666667,60,1,0.75,13.25,FALSE
4,13,1,4,1,2,56,0,1,27,FALSE
6,65,243,2,30,0.726667,747,0,0.182796,22.612903,FALSE
7,17,0,7,5,0.5,75,0,0.8,13.4,FALSE
6,26,0,5,5,0.571429,167,0,0.375,19.5,FALSE
