@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z162.162162

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
10,47,73,8,12,0.865079,452,1,0.225,28.533333,FALSE
4,6,0,3,3,0,30,0,0.666667,8.666667,FALSE
3,9,0,2,5,0.666667,64,0,0.533333,11.2,FALSE
6,69,264,2,31,0.733333,771,0,0.180556,22.625,FALSE
4,6,0,3,3,0,30,0,0.666667,8.666667,FALSE
4,4,0,3,1,0,16,1,0.666667,6.5,FALSE
7,35,52,7,10,0.869048,273,2,0.353846,19.461538,FALSE
18,40,23,16,19,0.688889,386,1,0.119298,19.052632,FALSE
10,5,10,0,5,2,5,0,0.533333,0,FALSE
8,25,14,7,8,0.714286,157,1,0.375,18.25,FALSE
7,9,0,2,3,0,47,0,0.666667,14.333333,FALSE
2,1,0,0,0,2,2064,0,0,2052,FALSE
11,39,7,2,10,0.960606,605,1,0.25974,51,FALSE
4,19,10,3,6,0.729167,159,1,0.277778,16,FALSE
3,16,2,3,4,0.666667,76,0,0.5,17.5,FALSE
16,77,69,16,10,0.826531,504,0,0.233333,32.133333,FALSE
8,22,0,8,7,0.625,147,0,0.342857,19.428571,FALSE
23,45,348,23,28,0.037037,204,0,0.079193,6.25,FALSE
12,64,69,10,5,0.807692,531,2,0.246032,36.642857,FALSE
4,19,10,3,6,0.729167,159,1,0.277778,16,FALSE
4,19,10,3,6,0.729167,159,1,0.277778,16,FALSE
12,65,2,12,6,0.916667,583,0,0.333333,70.375,FALSE
4,24,5,4,5,0.733333,153,0,0.5,24,FALSE
10,5,10,0,5,2,5,0,0.533333,0,FALSE
11,39,7,2,10,0.960606,605,1,0.25974,51,FALSE
10,47,73,8,12,0.865079,452,1,0.225,28.533333,FALSE
18,40,23,16,19,0.688889,386,1,0.119298,19.052632,FALSE
3,7,0,2,4,0,130,0,0.75,31,FALSE
10,5,10,0,5,2,5,0,0.533333,0,FALSE
4,19,10,3,6,0.729167,159,1,0.277778,16,FALSE
3,14,5,1,4,0.8,131,0,0.2,20.166667,FALSE
14,39,19,13,9,0.75,332,1,0.327273,28.636364,FALSE
2,1,0,0,0,2,2064,0,0,2052,FALSE
6,26,0,5,5,0.571429,164,0,0.375,19.125,FALSE
19,106,272,15,26,0.862857,712,3,0.175,18.361111,FALSE
6,35,4,6,7,0.714286,265,0,0.46875,31.375,FALSE
3,7,1,3,2,2,23,0,1,10.5,FALSE
4,20,0,3,4,0.777778,162,0,0.75,38.75,FALSE
18,1,0,1,1,2,1,0,1,0,FALSE
3,4,1,2,1,2,19,0,1,8,FALSE
12,65,2,12,6,0.916667,583,0,0.333333,70.375,FALSE
10,5,10,0,5,2,5,0,0.533333,0,FALSE
6,18,5,6,5,0.733333,95,0,0.5,14.333333,FALSE
4,30,27,3,5,0.761905,252,1,0.283333,23.5,FALSE
13,1,0,1,1,2,1,0,1,0,FALSE
3,9,3,2,2,2,48,0,0.666667,15,FALSE
7,50,270,5,20,0.434783,250,1,0.162037,9.375,FALSE
3,40,10,3,8,0.714286,271,0,0.40625,32.375,FALSE
7,50,270,5,20,0.434783,250,1,0.162037,9.375,FALSE
4,6,0,3,3,0,30,0,0.666667,8.666667,FALSE
4,6,0,3,3,0,30,0,0.666667,8.666667,FALSE
12,15,13,4,11,0.75,97,3,0.220779,7.272727,FALSE
5,7,6,0,5,0.75,32,0,0.7,5,FALSE
1,0,0,0,0,2,24,0,0,0,FALSE
7,9,0,2,3,0,47,0,0.666667,14.333333,FALSE
4,30,27,3,5,0.761905,252,1,0.283333,23.5,FALSE
69,10,8,0,3,0.3125,69,1,0.583333,12,FALSE
7,28,1,6,6,0.6,173,3,0.305556,27.333333,FALSE
4,25,14,3,4,0.571429,163,1,0.3,18.875,FALSE
69,10,8,0,3,0.3125,69,1,0.583333,12,FALSE
14,39,19,13,9,0.75,332,1,0.327273,28.636364,FALSE
11,72,39,10,12,0.714286,683,0,0.277778,43.733333,FALSE
8,20,3,7,2,1,150,0,0.5,48,FALSE
8,17,1,7,2,2,97,0,1,47,FALSE
6,25,0,1,7,0.6,169,0,0.416667,19.5,FALSE
18,40,23,16,19,0.688889,386,1,0.119298,19.052632,FALSE
8,26,0,4,7,0.666667,261,0,0.342857,35.714286,FALSE
18,1,0,1,1,2,1,0,1,0,FALSE
11,23,1,7,5,0.8,95,2,0.6,14.333333,FALSE
3,13,31,2,10,0.703704,76,1,0.375,6.3,FALSE
12,64,69,10,5,0.807692,531,2,0.246032,36.642857,FALSE
7,50,270,5,20,0.434783,250,1,0.162037,9.375,FALSE
1,6,0,0,2,1,39,0,0.666667,16.5,FALSE
1,19,0,0,3,0.5,108,0,0.533333,20.2,FALSE
6,35,4,6,7,0.714286,265,0,0.46875,31.375,FALSE
5,19,1,4,5,0.52381,285,0,0.47619,38.714286,FALSE
8,25,14,7,8,0.714286,157,1,0.375,18.25,FALSE
5,15,0,2,4,0.333333,83,0,0.4375,19.5,FALSE
7,28,1,6,6,0.6,173,3,0.305556,27.333333,FALSE
18,1,0,1,1,2,1,0,1,0,FALSE
6,41,21,6,7,0.793651,360,0,0.45,34.3,FALSE
3,7,0,2,4,0,161,0,0.75,38.5,FALSE
11,72,39,10,12,0.714286,683,0,0.277778,43.733333,FALSE
3,7,0,2,4,0,130,0,0.75,31,FALSE
1,5,3,0,3,2,24,0,0.666667,7,FALSE
7,28,1,6,6,0.6,173,3,0.305556,27.333333,FALSE
6,69,264,2,31,0.733333,771,0,0.180556,22.625,FALSE
6,43,322,4,6,0.859375,4244,1,0.257576,126.333333,FALSE
69,10,8,0,3,0.3125,69,1,0.583333,12,FALSE
5,57,34,3,2,1.083333,566,0,0.303571,60.888889,TRUE
5,57,34,3,2,1.083333,566,0,0.303571,60.888889,TRUE
55,123,919,30,47,0.784257,918,1,0.064444,17.22,TRUE
8,28,0,8,6,0.678571,128,1,0.5,14.5,TRUE
8,49,33,8,9,0.428571,463,1,0.25,29.8,TRUE
2,42,0,1,12,0.386364,236,0,0.444444,18.333333,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
10,39,0,10,6,0.628571,330,1,0.325,39.625,TRUE
6,80,272,6,12,0.928105,777,1,0.290123,26.142857,TRUE
202,247,4576,23,87,0.979501,2015,4,0.09087,18.81,TRUE
8,49,33,8,9,0.428571,463,1,0.25,29.8,TRUE
8,28,0,8,6,0.678571,128,1,0.5,14.5,TRUE
5,57,34,3,2,1.083333,566,0,0.303571,60.888889,TRUE
202,247,4576,23,87,0.979501,2015,4,0.09087,18.81,TRUE
14,73,151,13,23,0.921717,668,2,0.207729,27.26087,TRUE
8,49,33,8,9,0.428571,463,1,0.25,29.8,TRUE
55,123,919,30,47,0.784257,918,1,0.064444,17.22,TRUE
103,186,2247,7,55,0.972449,2193,0,0.127731,29.492958,TRUE
11,18,0,10,9,0.583333,78,1,0.161538,4.846154,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
8,22,3,7,2,1,152,0,0.5,48.666667,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
9,47,48,8,21,0.68,277,4,0.309524,11.952381,TRUE
7,71,102,7,14,0.821053,677,2,0.3,32.35,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
10,39,0,10,6,0.628571,330,1,0.325,39.625,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
8,28,0,8,6,0.678571,128,1,0.5,14.5,TRUE
14,61,19,13,8,0.809524,543,0,0.266667,52.6,TRUE
14,61,19,13,8,0.809524,543,0,0.266667,52.6,TRUE
11,18,0,10,9,0.583333,78,1,0.161538,4.846154,TRUE
28,98,0,28,38,0.855556,890,0,0.080594,20.487805,TRUE
11,18,0,10,9,0.583333,78,1,0.161538,4.846154,TRUE
8,22,3,7,2,1,152,0,0.5,48.666667,TRUE
37,119,1112,9,28,0.842657,1739,2,0.244505,31.396226,TRUE
12,79,333,11,31,0.751634,487,6,0.167857,12.657143,TRUE
55,123,919,30,47,0.784257,918,1,0.064444,17.22,TRUE
103,186,2247,7,55,0.972449,2193,0,0.127731,29.492958,TRUE
103,186,2247,7,55,0.972449,2193,0,0.127731,29.492958,TRUE
10,55,76,6,11,0.59375,461,0,0.285714,25.882353,TRUE
28,98,0,28,38,0.855556,890,0,0.080594,20.487805,TRUE
2,42,0,1,12,0.386364,236,0,0.444444,18.333333,TRUE
10,55,76,6,11,0.59375,461,0,0.285714,25.882353,TRUE
9,39,1,9,7,0.708333,260,2,0.285714,35.571429,TRUE
5,15,1,5,6,0.7,75,0,0.555556,10.833333,TRUE
55,123,919,30,47,0.784257,918,1,0.064444,17.22,TRUE
5,57,34,3,2,1.083333,566,0,0.303571,60.888889,TRUE
103,186,2247,7,55,0.972449,2193,0,0.127731,29.492958,TRUE
10,39,0,10,6,0.628571,330,1,0.325,39.625,TRUE
2,42,0,1,12,0.386364,236,0,0.444444,18.333333,TRUE
