@relation ivyA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z160.6837607

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
9,21,5,150,0.473684,0.316667,FALSE
3,6,0,15,0.777778,0.833333,FALSE
5,2,4,9,1,1,FALSE
8,26,7,127,0,0.314286,FALSE
6,17,0,58,0,0.833333,FALSE
4,18,0,78,0.97619,0.625,FALSE
33,146,23,1086,0,0.079545,FALSE
102,55,4,548,0.36,0.283333,FALSE
26,8,3,8,0,1,FALSE
3,33,0,274,0,0.375,FALSE
17,28,8,127,0.3,0.25,FALSE
33,146,23,1086,0,0.079545,FALSE
9,15,6,67,0,0.65,FALSE
7,26,7,172,0.802632,0.71875,FALSE
6,7,3,28,0,0.444444,FALSE
10,58,4,257,0,0.32,FALSE
9,21,5,150,0.473684,0.316667,FALSE
10,50,10,267,0.428571,0.323077,FALSE
6,10,5,27,0.714286,0.5,FALSE
12,17,1,121,0,0.34375,FALSE
4,13,0,43,0,0.761905,FALSE
5,41,3,173,0,0.466667,FALSE
16,43,14,143,0,0.181818,FALSE
15,78,15,413,0.792208,0.254902,FALSE
97,31,16,33,0,0.132258,FALSE
11,51,8,349,0,0.383333,FALSE
7,26,6,158,0,0.525,FALSE
15,108,0,896,0.59292,0.221884,FALSE
9,23,8,125,0,0.444444,FALSE
3,3,0,3,0,0.666667,FALSE
8,1,1,1,0,1,FALSE
2,18,1,99,0.983871,0.666667,FALSE
5,9,0,34,0,0.5,FALSE
5,14,4,56,0,0.314286,FALSE
8,15,6,67,0,0.65,FALSE
14,21,3,75,0,0.4,FALSE
8,20,0,155,0,0.444444,FALSE
3,2,3,9,1,1,FALSE
19,84,0,685,0.672414,0.166667,FALSE
5,8,0,20,1,0.666667,FALSE
21,33,5,162,0,0.188034,FALSE
7,8,4,28,0.857143,0.583333,FALSE
27,6,2,6,0,0.541667,FALSE
6,10,2,63,0,0.333333,FALSE
2,18,1,99,0.983871,0.666667,FALSE
9,21,5,141,0,0.3125,FALSE
6,11,2,41,0,0.466667,FALSE
12,29,5,126,0,0.416667,FALSE
9,40,7,286,0.606061,0.5,FALSE
11,40,0,212,0,0.416667,FALSE
6,19,2,67,0,0.318182,FALSE
4,21,0,144,0.636364,0.533333,FALSE
9,23,8,125,0,0.444444,FALSE
9,2,0,2,0,1,FALSE
3,5,2,15,1,1,FALSE
3,33,0,274,0,0.375,FALSE
4,1,1,1,0,1,FALSE
4,19,3,57,0.714286,0.5,FALSE
15,86,15,570,0.753086,0.17619,FALSE
52,8,3,8,0,1,FALSE
12,79,11,785,0.660714,0.227778,FALSE
15,78,15,413,0.792208,0.254902,FALSE
8,9,4,29,0,0.5,FALSE
5,2,4,9,1,1,FALSE
9,54,9,558,0.743902,0.530303,FALSE
27,19,2,138,0,0.233333,FALSE
15,34,14,326,0,0.6,FALSE
21,33,5,162,0,0.188034,FALSE
16,29,3,149,0,0.193878,FALSE
37,20,6,20,0,0.3625,FALSE
16,29,3,149,0,0.193878,FALSE
9,15,6,67,0,0.65,FALSE
4,2,0,2,0,0.666667,FALSE
7,22,7,141,0.924242,0.666667,FALSE
4,1,1,1,0,1,FALSE
11,24,4,107,0,0.393939,FALSE
6,7,3,28,0,0.444444,FALSE
3,9,0,27,0.777778,0.833333,FALSE
3,7,1,36,0,0.444444,FALSE
14,35,4,204,0.388889,0.282051,FALSE
3,9,0,27,0.777778,0.833333,FALSE
10,4,0,32,0,0.75,FALSE
23,83,5,638,0,0.194118,FALSE
8,15,6,67,0,0.65,FALSE
17,58,0,347,0,0.183333,FALSE
4,6,0,6,0,0.75,FALSE
10,51,9,205,0,0.28125,FALSE
6,1,1,1,0,1,FALSE
11,24,4,107,0,0.393939,FALSE
3,9,0,27,0.777778,0.833333,FALSE
3,7,0,17,0.985185,1,FALSE
12,26,3,242,0.545455,0.222222,FALSE
9,21,5,141,0,0.3125,FALSE
4,9,1,31,0.75,0.5,FALSE
6,11,4,42,0,0.6,FALSE
14,10,3,10,0,0.366667,FALSE
37,20,6,20,0,0.3625,FALSE
2,13,1,86,0,0.571429,FALSE
10,27,0,198,0,0.71875,FALSE
10,41,10,214,0.5,0.4,FALSE
15,78,15,408,0.753846,0.254902,FALSE
8,29,3,188,0,0.235714,FALSE
14,69,13,436,0.701149,0.296296,FALSE
10,74,9,608,0.889474,0.233766,FALSE
25,85,0,568,0.272727,0.313725,FALSE
4,1,1,1,0,1,FALSE
4,18,3,98,0.714286,0.466667,FALSE
7,23,0,148,0,0.4,FALSE
15,2,0,2,0,1,FALSE
6,1,1,1,0,1,FALSE
22,72,9,469,0,0.166667,FALSE
8,7,3,28,0,0.444444,FALSE
16,38,0,159,0.981132,1,FALSE
8,1,1,1,0,1,FALSE
2,18,1,102,0.983871,0.666667,FALSE
9,2,0,2,0,1,FALSE
12,79,11,785,0.660714,0.227778,FALSE
4,19,3,57,0.714286,0.5,FALSE
7,63,0,939,0,0.345238,FALSE
2,5,1,22,0,0.555556,FALSE
2,6,1,35,0,0.5,FALSE
19,107,0,659,0.650485,0.32973,FALSE
7,8,4,28,0.857143,0.583333,FALSE
33,78,13,394,0,0.150997,FALSE
4,30,2,183,0,0.5,FALSE
9,9,9,27,0.961538,0.666667,FALSE
6,11,2,41,0,0.466667,FALSE
4,9,3,43,0,0.5,FALSE
21,33,5,162,0,0.188034,FALSE
4,18,0,78,0.97619,0.625,FALSE
6,24,0,88,0.963636,0.7,FALSE
6,1,1,1,0,1,FALSE
8,29,3,188,0,0.235714,FALSE
13,30,10,149,0,0.5,FALSE
4,18,0,78,0.97619,0.625,FALSE
