@relation ivyA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z39.31623932-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,16,1,98,0,0.5,FALSE
6,9,5,41,0.875,0.466667,FALSE
9,4,0,4,0,0.666667,FALSE
21,6,5,6,0,0.37037,FALSE
9,21,5,150,0.473684,0.316667,FALSE
2,59,1,682,0,0.4375,FALSE
2,4,1,11,0.666667,0.666667,FALSE
12,26,3,242,0.545455,0.222222,FALSE
2,19,1,97,0,0.285714,FALSE
5,2,4,9,1,1,FALSE
102,55,4,548,0.36,0.283333,FALSE
5,16,4,60,0.833333,0.666667,FALSE
7,22,2,141,0,0.184524,FALSE
16,29,3,149,0,0.193878,FALSE
7,29,4,213,0.413793,0.233333,FALSE
28,13,9,13,0,0.185897,FALSE
10,2,1,2,0,0.666667,FALSE
11,28,8,127,0.125,0.25,FALSE
2,8,0,21,1,0.666667,FALSE
7,34,4,217,0,0.202614,FALSE
9,15,6,67,0,0.65,FALSE
4,10,3,57,0.833333,0.666667,FALSE
9,21,5,141,0,0.3125,FALSE
15,3,1,3,0,1,FALSE
2,8,0,20,1,0.666667,FALSE
3,34,3,191,0.835616,0.487179,FALSE
2,16,2,88,0,0.433333,FALSE
6,4,3,8,0,0.625,FALSE
4,7,3,31,0,0.4375,FALSE
3,22,0,68,0.967568,0.857143,FALSE
5,5,4,22,0.933333,0.625,FALSE
6,18,0,65,0,0.407407,FALSE
12,102,12,782,0.753086,0.178571,FALSE
2,18,1,99,0.983871,0.666667,FALSE
4,16,1,130,0,0.45,FALSE
9,12,3,40,0,0.428571,FALSE
3,24,3,222,0,0.316667,FALSE
7,23,7,121,0.847222,0.708333,FALSE
14,10,3,10,0,0.366667,FALSE
7,29,5,171,0.388889,0.25,FALSE
6,17,0,58,0,0.833333,FALSE
28,7,2,7,0,1,FALSE
14,3,1,3,0,1,FALSE
8,40,0,338,0.6,0.48,FALSE
7,31,0,303,0.5,0.393939,FALSE
17,58,0,347,0,0.183333,FALSE
3,4,1,16,0,0.666667,FALSE
7,8,4,28,0.857143,0.583333,FALSE
3,7,0,17,0.985185,1,FALSE
14,57,0,349,0.843537,0.139881,FALSE
7,26,6,158,0,0.525,FALSE
17,13,3,13,0,0.487179,FALSE
3,6,2,26,0,0.666667,FALSE
17,28,8,127,0.3,0.25,FALSE
3,3,3,15,0.923077,0.666667,FALSE
5,9,4,40,0.875,0.5,FALSE
8,1,0,1,0,1,FALSE
2,20,0,67,0.910448,0.571429,FALSE
12,79,11,785,0.660714,0.227778,FALSE
8,37,8,265,0.802632,0.359375,FALSE
7,45,4,311,0.513514,0.315789,FALSE
6,1,1,1,0,1,FALSE
14,103,14,642,0.592233,0.372093,FALSE
9,51,3,297,0,0.346154,FALSE
7,8,3,34,0,0.8,FALSE
37,20,6,20,0,0.3625,FALSE
11,22,0,101,0,0.416667,FALSE
5,13,2,76,0.6,0.458333,FALSE
6,7,3,28,0,0.444444,FALSE
7,52,5,420,0,0.25,TRUE
42,27,1,164,0,0.340909,TRUE
30,20,7,21,0,0.225,TRUE
8,39,7,193,0.695652,0.375,TRUE
12,32,4,152,0,0.309524,TRUE
154,583,98,8095,0,0.068627,TRUE
13,6,3,6,0,1,TRUE
5,22,3,138,0,0.5,TRUE
12,29,0,99,0.142857,0.238095,TRUE
3,17,2,74,0,0.5,TRUE
8,43,8,226,0.765625,0.359375,TRUE
6,33,4,229,0,0.48,TRUE
3,35,1,303,0,0.357143,TRUE
7,31,6,166,0.64,0.363636,TRUE
72,318,48,3982,0,0.087369,TRUE
3,8,1,34,0,0.6,TRUE
10,36,10,159,0.454545,0.377778,TRUE
150,67,5,653,0.28,0.280303,TRUE
6,14,1,105,0,0.311111,TRUE
6,1,1,1,0,1,TRUE
6,33,0,179,0,0.444444,TRUE
11,17,4,103,0,0.241667,TRUE
6,26,5,125,0,0.3,TRUE
10,60,0,936,0,0.285714,TRUE
14,58,13,478,0,0.307692,TRUE
13,86,10,593,0,0.12406,TRUE
13,13,2,47,0,0.333333,TRUE
21,114,19,1472,0.472222,0.238889,TRUE
11,34,11,184,0.571429,0.240385,TRUE
32,82,7,926,0,0.226337,TRUE
16,65,0,877,0,0.416667,TRUE
19,81,17,681,0,0.285714,TRUE
5,3,0,3,0,0.666667,TRUE
12,55,12,320,0.592593,0.212963,TRUE
15,68,14,472,0.676471,0.180124,TRUE
32,104,29,955,0,0.3125,TRUE
18,52,18,489,0,0.25,TRUE
18,73,0,666,0.736264,0.38,TRUE
16,49,7,255,0.755102,0.285714,TRUE
10,44,9,432,0,0.357143,TRUE
14,4,0,4,0,1,TRUE
3,17,0,136,0,0.375,TRUE
16,103,0,824,0.663366,0.314286,TRUE
29,96,0,669,0.861789,0.205882,TRUE
16,31,12,146,0,0.183824,TRUE
10,31,5,182,0,0.266667,TRUE
31,147,30,1429,0.347826,0.121442,TRUE
8,5,5,15,0,0.625,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
12,4,3,4,0,0.5,TRUE
26,120,26,1123,0.825243,0.12012,TRUE
10,46,2,431,0,0.219048,TRUE
12,29,10,242,0.125,0.21875,TRUE
7,21,4,108,0,0.5625,TRUE
5,18,0,125,0.538462,0.464286,TRUE
4,14,3,89,0.714286,0.444444,TRUE
5,79,0,948,0,0.292857,TRUE
4,19,3,82,0,0.31746,TRUE
13,88,13,531,0.597561,0.375,TRUE
27,13,0,87,0,0.444444,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
13,64,0,411,0.82716,0.306667,TRUE
10,44,7,305,0.833333,0.6,TRUE
6,37,4,172,0,0.666667,TRUE
12,51,10,451,0.717647,0.35,TRUE
10,4,1,4,0,0.55,TRUE
6,39,3,193,0,0.35,TRUE
7,21,4,88,0,0.625,TRUE
6,63,6,435,0.809524,0.4,TRUE
