@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z156.1904762

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
11,27,13,11,0.333333,2,FALSE
11,28,1,11,1,2.6667,FALSE
15,22,8,8,0.5,1,FALSE
7,13,3,7,0,1.3333,FALSE
10,35,3,9,1,1,FALSE
9,29,4,9,1,1.75,FALSE
14,35,0,7,1,1.5,FALSE
14,45,10,12,1,1.4615,FALSE
18,44,781,0,1,0.9767,FALSE
16,30,1,14,0,12.5,FALSE
8,14,3,8,0,1.3333,FALSE
13,14,0,2,1,1.4286,FALSE
6,8,1,4,0,1.5,FALSE
56,47,1081,9,0,1,FALSE
2,7,1,1,0,1.3333,FALSE
1,8,0,0,1,1.4286,FALSE
11,28,1,11,1,2.6667,FALSE
2,7,1,1,0,1.3333,FALSE
13,22,2,12,1,1.75,FALSE
10,28,9,9,0.5,0.6667,FALSE
14,35,0,7,1,1.5,FALSE
5,9,4,5,1,0.5,FALSE
11,28,8,10,1,1.8,FALSE
15,39,7,14,0.666667,4.1667,FALSE
12,39,6,12,0.666667,3,FALSE
43,7,21,1,0,1,FALSE
6,4,1,0,0,0,FALSE
14,45,10,12,1,1.4615,FALSE
22,33,7,5,1,2.3333,FALSE
5,9,4,5,1,0.5,FALSE
12,30,7,12,0.666667,1,FALSE
14,16,0,14,1,3,FALSE
10,35,3,9,1,1,FALSE
16,30,1,14,0,12.5,FALSE
10,33,28,10,0.666667,1.2222,FALSE
24,61,30,24,0.75,0.8889,FALSE
10,2,1,2,0,1,FALSE
17,34,1,13,0.75,2.5,FALSE
7,15,3,7,0,1.3333,FALSE
15,22,8,8,0.5,1,FALSE
10,33,28,10,0.666667,1.2222,FALSE
10,35,3,9,1,1,FALSE
12,31,13,12,0.333333,1.6667,FALSE
14,46,0,9,1,3.2857,FALSE
15,35,13,15,0.333333,2,FALSE
55,154,540,30,1,1.5574,FALSE
8,14,3,8,0,1.3333,FALSE
13,22,2,12,1,1.75,FALSE
6,8,1,4,0,1.5,FALSE
20,29,6,20,0.666667,2,FALSE
10,33,28,10,0.666667,1.2222,FALSE
2,1,0,0,0,1,FALSE
6,4,1,0,0,0,FALSE
8,20,8,8,0.857143,1.8,FALSE
12,30,322,0,1,0.9655,FALSE
0,2,0,0,0,0,FALSE
12,65,3,11,0.5,7,FALSE
10,2,1,2,0,1,FALSE
14,16,0,14,1,3,FALSE
5,9,4,5,1,0.5,FALSE
11,28,1,11,1,2.6667,FALSE
14,67,0,13,1,10.4,FALSE
43,7,21,1,0,1,FALSE
7,26,5,6,0.25,1.3333,FALSE
14,41,0,10,1,1.7,FALSE
5,1,0,2,0,1,FALSE
13,32,0,6,0.666667,0.9,FALSE
17,31,245,4,0.666667,1.3462,FALSE
23,77,34,19,0.714286,3.4118,FALSE
8,20,8,8,0.857143,1.8,FALSE
9,32,30,6,0.857143,1.4615,FALSE
7,14,0,5,0,3,FALSE
7,26,5,6,0.25,1.3333,FALSE
13,22,2,12,1,1.75,FALSE
4,18,13,4,1,0.6667,FALSE
17,31,245,4,0.666667,1.3462,FALSE
8,18,4,6,0.666667,1.5,FALSE
12,22,3,10,1,3.3333,FALSE
10,33,28,10,0.666667,1.2222,FALSE
12,19,6,8,1,3.2,FALSE
5,12,3,4,0,1,FALSE
18,44,781,0,1,0.9767,FALSE
25,9,36,4,0,1,TRUE
12,37,2,7,1,2.5833,TRUE
8,47,13,8,0.5,1.5,TRUE
6,6,3,5,0,0.3333,TRUE
10,29,20,10,1,1.25,TRUE
15,38,7,14,0.666667,4,TRUE
25,9,36,4,0,1,TRUE
26,63,20,26,1,1,TRUE
15,38,7,14,0.666667,4,TRUE
8,8,4,7,1,0.75,TRUE
17,39,30,16,0.75,1.3333,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
34,52,60,12,1,2.8125,TRUE
10,32,3,10,1,4.3333,TRUE
31,107,104,29,0.833333,3.5,TRUE
29,64,38,28,1,2.0833,TRUE
34,52,60,12,1,2.8125,TRUE
12,36,3,12,0.666667,3.7143,TRUE
12,60,0,11,1,8.2,TRUE
10,29,20,10,1,1.25,TRUE
7,16,4,6,1,1.5,TRUE
31,107,104,29,0.833333,3.5,TRUE
34,52,60,12,1,2.8125,TRUE
8,47,13,8,0.5,1.5,TRUE
7,16,4,6,1,1.5,TRUE
12,37,2,7,1,2.5833,TRUE
13,26,2,11,1,3.5,TRUE
18,71,1,16,0.857143,2.7273,TRUE
11,56,20,10,1,5.125,TRUE
18,71,1,16,0.857143,2.7273,TRUE
8,47,13,8,0.5,1.5,TRUE
8,47,13,8,0.5,1.5,TRUE
13,26,2,11,1,3.5,TRUE
25,9,36,4,0,1,TRUE
29,64,38,28,1,2.0833,TRUE
31,107,104,29,0.833333,3.5,TRUE
6,6,3,5,0,0.3333,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
17,39,30,16,0.75,1.3333,TRUE
26,63,20,26,1,1,TRUE
6,6,3,5,0,0.3333,TRUE
8,47,13,8,0.5,1.5,TRUE
12,37,2,7,1,2.5833,TRUE
13,35,20,13,1,1.5,TRUE
8,8,4,7,1,0.75,TRUE
15,38,7,14,0.666667,4,TRUE
28,87,150,26,0.727273,2.9167,TRUE
7,16,4,6,1,1.5,TRUE
25,9,36,4,0,1,TRUE
26,63,20,26,1,1,TRUE
8,8,4,7,1,0.75,TRUE
18,71,1,16,0.857143,2.7273,TRUE
6,6,3,5,0,0.3333,TRUE
10,29,20,10,1,1.25,TRUE
10,29,20,10,1,1.25,TRUE
12,37,2,7,1,2.5833,TRUE
6,6,3,5,0,0.3333,TRUE
12,60,0,11,1,8.2,TRUE
31,107,104,29,0.833333,3.5,TRUE
26,63,20,26,1,1,TRUE
6,6,3,5,0,0.3333,TRUE
13,26,2,11,1,3.5,TRUE
25,9,36,4,0,1,TRUE
26,63,20,26,1,1,TRUE
11,56,20,10,1,5.125,TRUE
12,60,0,11,1,8.2,TRUE
10,29,20,10,1,1.25,TRUE
12,60,0,11,1,8.2,TRUE
12,37,2,7,1,2.5833,TRUE
12,36,3,12,0.666667,3.7143,TRUE
26,63,20,26,1,1,TRUE
13,35,20,13,1,1.5,TRUE
8,47,13,8,0.5,1.5,TRUE
8,8,4,7,1,0.75,TRUE
11,56,20,10,1,5.125,TRUE
7,16,4,6,1,1.5,TRUE
28,87,150,26,0.727273,2.9167,TRUE
17,39,30,16,0.75,1.3333,TRUE
12,36,3,12,0.666667,3.7143,TRUE
18,71,1,16,0.857143,2.7273,TRUE
15,38,7,14,0.666667,4,TRUE
18,71,1,16,0.857143,2.7273,TRUE
