@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z117.2413793

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
9,37,4,7,0,FALSE
2,16,2,2,0,FALSE
1,1,0,1,0,FALSE
5,14,1,2,0,FALSE
8,10,0,8,0,FALSE
1,1,0,1,0,FALSE
19,69,8,13,0.105263,FALSE
8,10,0,8,0,FALSE
4,10,0,3,0,FALSE
7,22,6,3,0,FALSE
9,37,4,7,0,FALSE
5,16,0,2,0,FALSE
1,1,0,1,0,FALSE
9,19,2,7,0,FALSE
4,27,7,2,0,FALSE
5,14,1,2,0,FALSE
9,9,4,9,0,TRUE
5,31,7,2,0,TRUE
5,31,7,2,0,TRUE
23,65,10,20,0.111111,TRUE
6,24,5,6,0.8,TRUE
12,41,2,9,0,TRUE
23,65,10,20,0.111111,TRUE
6,24,5,6,0.8,TRUE
5,31,9,2,0,TRUE
5,31,9,2,0,TRUE
12,41,2,9,0,TRUE
5,31,7,2,0,TRUE
5,31,7,2,0,TRUE
6,21,2,5,0.2,TRUE
12,41,2,9,0,TRUE
5,31,9,2,0,TRUE
