@relation xercesA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z155.5555556

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,3,0,0,4,0,2,2,0.75,0,0,0,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
5,1,0,0,5,0,5,2,0.6,0,0,1,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
71,1,0,17,193,16,23,0.924861,0.147959,0,0,3,TRUE
95,1,0,59,297,55,55,0.944105,0.085474,0,0,17,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
11,2,2,6,26,4,10,1.05,0.477273,1,1,3,TRUE
11,2,2,6,26,4,10,1.05,0.477273,1,1,3,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
1,1,0,4,1,1,1,2,1,0,0,1,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
8,2,0,2,32,2,7,1.040816,0.46875,1,1,6,TRUE
11,2,2,6,26,4,10,1.05,0.477273,1,1,3,TRUE
1,1,0,4,1,1,1,2,1,0,0,1,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
9,1,3,14,14,2,8,0.982143,0.288889,0,0,3,TRUE
11,2,2,6,26,4,10,1.05,0.477273,1,1,3,TRUE
3,1,0,21,3,0,3,1.5,0.533333,0,0,1,TRUE
1,1,0,4,1,1,1,2,1,0,0,1,TRUE
71,1,0,17,193,16,23,0.924861,0.147959,0,0,3,TRUE
3,1,0,21,3,0,3,1.5,0.533333,0,0,1,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
8,2,0,2,32,2,7,1.040816,0.46875,1,1,6,TRUE
2,3,0,0,4,0,2,2,0.75,0,0,0,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
1,1,0,4,1,1,1,2,1,0,0,1,TRUE
3,1,0,21,3,0,3,1.5,0.533333,0,0,1,TRUE
95,1,0,59,297,55,55,0.944105,0.085474,0,0,17,TRUE
5,1,0,0,5,0,5,2,0.6,0,0,1,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
8,2,0,2,32,2,7,1.040816,0.46875,1,1,6,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
5,1,0,0,5,0,5,2,0.6,0,0,1,TRUE
9,1,3,14,14,2,8,0.982143,0.288889,0,0,3,TRUE
5,1,0,0,5,0,5,2,0.6,0,0,1,TRUE
3,1,0,4,3,2,3,2,0.666667,0,0,1,FALSE
5,1,1,4,21,2,4,0.25,0.44,0,0,22,FALSE
4,1,0,2,4,1,4,2,0.75,0,0,1,FALSE
5,1,0,5,7,0,5,2,0.35,0,0,3,FALSE
2,1,0,0,2,0,2,2,0.75,0,0,1,FALSE
3,1,0,0,3,0,3,2,0.666667,0,0,1,FALSE
4,1,0,2,4,1,4,2,0.75,0,0,1,FALSE
4,1,0,6,6,1,4,0,0.55,0,0,2,FALSE
10,1,0,0,10,0,10,2,0.75,0,0,1,FALSE
10,1,0,0,10,0,10,2,0.75,0,0,1,FALSE
23,3,52,55,42,3,17,2,0.456522,1,2,4,FALSE
3,4,0,4,9,4,1,0.75,0.555556,3,12,2,FALSE
2,1,0,2,2,1,2,2,0.75,0,0,1,FALSE
10,2,0,7,29,6,6,0.698413,0.263889,0,0,1,FALSE
10,2,0,7,29,6,6,0.698413,0.263889,0,0,1,FALSE
2,1,0,2,2,1,2,2,0.75,0,0,1,FALSE
2,1,0,2,2,1,2,2,0.75,0,0,1,FALSE
18,1,0,0,18,0,18,2,0.5,0,0,1,FALSE
10,1,0,0,10,0,10,2,0.75,0,0,1,FALSE
2,1,0,2,2,1,2,2,0.75,0,0,1,FALSE
17,1,0,8,54,3,5,0.9375,0.2125,0,0,19,FALSE
5,1,0,5,7,0,5,2,0.35,0,0,3,FALSE
6,1,0,2,6,1,6,2,0.75,0,0,1,FALSE
39,2,0,10,72,9,2,1,0.184211,1,12,12,FALSE
4,1,0,0,4,0,4,2,0.75,0,0,1,FALSE
10,1,0,10,13,0,8,0.908497,0.25,0,0,9,FALSE
5,1,0,5,7,0,5,2,0.35,0,0,3,FALSE
23,3,52,55,42,3,17,2,0.456522,1,2,4,FALSE
6,1,0,2,11,0,6,0.844444,0.458333,0,0,8,FALSE
4,1,0,6,6,1,4,0,0.55,0,0,2,FALSE
3,3,0,0,4,0,2,0.5,1,0,0,1,FALSE
39,2,0,10,72,9,2,1,0.184211,1,12,12,FALSE
18,1,0,0,18,0,18,2,0.5,0,0,1,FALSE
3,3,0,0,4,0,2,0.5,1,0,0,1,FALSE
22,1,0,6,39,5,12,0.703297,0.232143,0,0,24,FALSE
18,1,0,0,18,0,18,2,0.5,0,0,1,FALSE
35,1,0,0,35,0,35,2,0.371429,0,0,1,FALSE
0,1,0,1,0,0,0,2,0,0,0,0,FALSE
17,1,0,8,54,3,5,0.9375,0.2125,0,0,19,FALSE
3,1,0,0,3,0,3,2,0.666667,0,0,1,FALSE
0,1,0,0,0,0,0,2,0,0,0,0,FALSE
5,1,1,4,21,2,4,0.25,0.44,0,0,22,FALSE
