@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z109.8901099

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
23,48,235,21,0.924242,379,0.444444,0.289855,5,15.086957,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
14,34,19,13,1.076923,379,1,0.385714,4,26,TRUE
14,24,69,12,0.769231,155,0.666667,0.482143,6,9.857143,TRUE
7,8,21,7,1.166667,32,0.5,0.428571,2,3.285714,TRUE
14,26,69,12,0.74359,188,0.666667,0.321429,6,12.214286,TRUE
20,126,130,10,1.047118,1170,0.019048,0.161538,7,47,TRUE
7,7,21,7,2,7,0,0.4,0,0,TRUE
23,48,235,21,0.924242,379,0.444444,0.289855,5,15.086957,TRUE
15,28,85,13,0.814286,209,0.8,0.322222,6,12.6,TRUE
8,17,0,7,0.571429,134,1,0.458333,0,15.375,TRUE
1,2,0,1,2,51,0,1,0,3,TRUE
10,13,3,10,0.722222,73,0.5,0.4,2,6.1,TRUE
20,126,130,10,1.047118,1170,0.019048,0.161538,7,47,TRUE
11,16,55,11,1.1,96,0.333333,0.272727,0,7.454545,TRUE
8,15,26,7,0.857143,219,0.25,0.342857,1,25.875,TRUE
1,2,0,1,2,51,0,1,0,3,TRUE
6,15,9,4,0.8,218,1,0.666667,0,34.833333,TRUE
129,376,6636,95,0.942356,3629,0.72973,0.067187,0,26.844961,TRUE
12,30,48,9,0.818182,322,1,0.5,0,25.25,TRUE
7,8,21,7,1.166667,32,0.5,0.428571,2,3.285714,TRUE
3,4,0,2,1.125,22,0,0.5,0,5,TRUE
38,56,511,35,0.938063,603,0.625,0.239382,6,14.236842,TRUE
11,22,49,9,0.933333,106,0.333333,0.418182,6,8.363636,TRUE
1,2,0,1,2,51,0,1,0,3,TRUE
24,52,86,16,0.673913,451,0.833333,0.183333,0,17.541667,TRUE
8,15,26,7,0.857143,219,0.25,0.342857,1,25.875,TRUE
20,126,130,10,1.047118,1170,0.019048,0.161538,7,47,TRUE
24,52,86,16,0.673913,451,0.833333,0.183333,0,17.541667,TRUE
8,15,26,7,0.857143,219,0.25,0.342857,1,25.875,TRUE
38,56,511,35,0.938063,603,0.625,0.239382,6,14.236842,TRUE
13,24,64,11,0.833333,144,0.75,0.5,6,9.769231,TRUE
