@relation 'Keymind - BA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z22.88135593-no-replacement'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,0,0,0,25,0,36,FALSE
16,0,0,0,25,31,37,FALSE
0,0,0,0,-23,0,67,FALSE
3,1,14,7,25,43,98,FALSE
0,0,0,0,-19,0,251,FALSE
2,1,5,5,19,70,16,FALSE
0,0,0,0,-41,19,12,FALSE
0,0,0,0,-19,0,96,FALSE
1,0,0,0,25,29,63,FALSE
16,10,0,0,29,0,9,FALSE
1,1,0,0,10,38,9,FALSE
0,0,0,0,-23,0,57,FALSE
6,1,1,0,21,0,7,FALSE
0,0,0,0,-23,0,9,FALSE
0,0,0,0,-5,16,16,FALSE
6,1,0,0,44,0,11,FALSE
16,0,22,1,21,31,37,FALSE
0,0,0,0,-19,0,16,FALSE
0,0,0,0,-19,0,17,FALSE
3,3,0,0,23,78,44,FALSE
0,0,0,0,-23,0,11,FALSE
1,0,0,0,19,0,12,FALSE
5,2,4,1,21,0,20,FALSE
0,0,0,0,-23,15,20,FALSE
0,0,0,0,-47,0,115,FALSE
3,2,9,9,14,80,12,FALSE
6,2,0,0,44,95,32,TRUE
9,3,0,0,44,0,20,TRUE
6,2,12,3,23,95,32,TRUE
12,4,0,0,27,64,144,TRUE
14,4,170,17,23,0,26,TRUE
6,2,0,0,27,41,29,TRUE
9,5,31,8,24,70,15,TRUE
30,18,450,37,25,86,35,TRUE
14,7,0,0,28,0,11,TRUE
14,8,5,5,26,0,8,TRUE
12,4,0,0,44,64,144,TRUE
9,5,0,0,28,70,15,TRUE
1,0,37,37,22,17,10,TRUE
10,5,92,18,22,0,12,TRUE
2,1,0,0,44,33,12,TRUE
6,2,0,0,27,95,32,TRUE
12,4,179,22,23,64,144,TRUE
30,18,0,0,29,86,35,TRUE
2,1,0,0,27,33,12,TRUE
8,1,2,2,26,213,24,TRUE
1,0,0,0,26,17,10,TRUE
14,4,0,0,44,0,26,TRUE
9,8,0,0,22,0,9,TRUE
4,4,0,0,29,5,35,TRUE
5,1,5,1,23,39,29,TRUE
9,3,45,7,23,0,20,TRUE
