@relation arA-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.97-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
18,9,FALSE
57,10,FALSE
35,7,FALSE
20,7,FALSE
74,10,FALSE
117,14,FALSE
13,9,FALSE
51,4,FALSE
268,23,FALSE
25,14,FALSE
4,5,FALSE
29,10,FALSE
10,4,FALSE
6,6,FALSE
72,15,FALSE
36,7,FALSE
16,12,FALSE
6,6,FALSE
31,5,FALSE
53,16,FALSE
23,10,FALSE
45,9,FALSE
24,16,FALSE
6,4,FALSE
15,5,FALSE
102,13,FALSE
60,16,FALSE
26,9,FALSE
91,5,FALSE
7,3,FALSE
10,3,FALSE
3,4,FALSE
10,5,FALSE
3,2,FALSE
26,5,FALSE
14,5,FALSE
39,15,FALSE
103,17,TRUE
11,12,TRUE
43,14,TRUE
60,16,TRUE
173,31,TRUE
95,19,TRUE
252,20,TRUE
244,17,TRUE
670,27,TRUE
181,6,TRUE
86,11,TRUE
89,18,TRUE
333,18,TRUE
27,9,TRUE
307,23,TRUE
10,11,TRUE
191,22,TRUE
324,21,TRUE
907,20,TRUE
142,17,TRUE
250,28,TRUE
240,19,TRUE
269,26,TRUE
89,20,TRUE
52,17,TRUE
21,9,TRUE
18,6,TRUE
51,17,TRUE
161,11,TRUE
181,24,TRUE
445,19,TRUE
19,9,TRUE
30,18,TRUE
50,14,TRUE
6,7,TRUE
114,12,TRUE
47,17,TRUE
