@relation propA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N100-F100-weka.filters.supervised.instance.Resample-B1.0-S1-Z23.75809935-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
13,119,6,10,1231,0.923077,0.204082,0.178125,28.707317,5,1.3902,FALSE
0,0,0,0,12,0,0,0,0,0,0,FALSE
8,7,0,8,19,0,0.857143,0.666667,5.333333,1,0.6667,FALSE
8,14,0,8,40,0,0.875,0.55,7,3,1.2,FALSE
5,8,0,5,22,1,0.903226,0.4375,4.25,1,0.75,FALSE
8,10,1,7,31,0,0.857143,0.666667,14.5,3,1.5,FALSE
15,20,0,15,72,0,0.875,0.625,35,3,1.5,FALSE
4,4,0,4,12,0,0.8,0.666667,5,1,0.5,FALSE
0,0,0,0,2,0,0,0,0,0,0,FALSE
7,20,1,6,64,0.5,0.928571,0.666667,19.666667,2,0.6667,FALSE
12,3,8,4,3,0,0,0.666667,0,1,1,FALSE
5,18,0,5,130,0,0.982759,0.666667,64,8,4,FALSE
21,24,0,21,90,0,0.888889,0.666667,16.4,1,0.6,FALSE
7,10,0,7,41,0,0.857143,0.666667,19.5,2,1,FALSE
25,50,7,18,282,0.333333,0,0.319444,30,3,1.3333,FALSE
15,10,0,15,40,0,0.8,0.666667,19,1,0.5,FALSE
37,44,1,36,193,0,0.969231,0.555556,46.5,1,0.5,FALSE
5,18,2,5,75,0,0.962121,0.291667,11.5,8,2,FALSE
10,11,3,7,308,1,0.9,0.625,101.333333,1,0.3333,FALSE
6,10,0,6,38,0,0.875,0.625,18,3,1.5,FALSE
4,1,3,1,1,0,0,1,0,1,1,FALSE
14,28,1,13,120,0,0.978723,0.555556,28.25,1,0.5,FALSE
6,5,3,3,5,0,0,0.52,0,1,1,FALSE
16,47,6,10,247,0,0.948454,0.583333,33.857143,1,0.7143,FALSE
0,0,0,0,0,0,0,0,0,0,0,FALSE
6,8,0,6,32,0,0.857143,0.666667,15,2,1,FALSE
15,25,0,15,135,0,0.857143,0.625,66.5,1,0.5,FALSE
0,0,0,0,7,0,0,0,0,0,0,FALSE
1,2,0,1,5,0,1,1,4,0,0,FALSE
2,5,1,1,17,1,0.96,0.666667,4.333333,1,0.3333,FALSE
19,113,12,11,1057,0.923077,0.204082,0.178125,24.463415,3,1.3415,FALSE
11,12,0,11,43,0,0.857143,0.625,20.5,2,1,FALSE
2,16,1,1,65,1,0,0.6,31,1,0.5,FALSE
8,7,1,7,21,0,0.916667,1,9.5,1,0.5,FALSE
14,18,0,14,63,1,0.875,0.55,11.2,5,1.6,FALSE
0,0,0,0,11,0,0,0,0,0,0,FALSE
14,24,1,13,113,0,0.967742,0.4,21,1,0.6,FALSE
3,1,2,1,1,0,0,1,0,1,1,FALSE
1,0,1,0,3,0,0,0,0,0,0,FALSE
1,4,0,1,12,0,0.933333,0.75,5,1,0.5,FALSE
8,45,0,8,206,0.5,0.769231,0.179012,10.222222,5,1.3889,FALSE
27,47,3,25,297,1,0.52381,0.245455,25.636364,2,1.4545,FALSE
15,23,0,15,138,0,0.882353,0.371429,25.8,6,1.8,FALSE
3,5,0,3,16,1,0,1,6,0,0,FALSE
20,18,0,20,76,0,0.875,0.625,37,1,0.5,FALSE
10,18,1,9,87,0,0.978261,0.555556,20,1,0.5,FALSE
7,13,0,7,43,0,0.857143,0.666667,20.5,3,1.5,FALSE
11,20,1,10,81,0,0.875,0.666667,39.5,5,2.5,FALSE
12,23,1,11,78,0,0.96,0.555556,17.75,1,0.5,FALSE
9,20,0,9,76,0.5,0.857143,0.666667,23.666667,3,1,FALSE
21,32,0,21,269,0,0.875,0.666667,50.8,1,0.6,FALSE
15,19,0,15,72,0,0.833333,0.6,10.5,1,0.6667,FALSE
1,0,1,0,4,0,0,0,0,0,0,FALSE
7,8,0,7,30,0,0.857143,0.666667,14,2,1,FALSE
42,50,2,40,296,0,0.953846,0.666667,57.6,1,0.6,TRUE
13,15,1,12,49,1,0.916667,0.75,23,1,0.5,TRUE
21,51,1,21,530,0.875,0.957447,0.333333,103.4,32,8.6,TRUE
17,34,7,10,519,0.5,0,0.122507,17.407407,24,2.6296,TRUE
23,39,0,23,132,0,0,0.75,64.5,4,2,TRUE
7,10,0,7,36,0,0.8,0.666667,16.5,1,0.5,TRUE
0,0,0,0,90,0,0,0,0,0,0,TRUE
0,0,0,0,49,0,0,0,0,0,0,TRUE
21,44,0,21,474,0.571429,0.826087,0.8,92.4,12,3.6,TRUE
30,40,0,30,176,1,0.875,0.625,86,11,5.5,TRUE
14,19,11,3,117,1,0,0.3,11.111111,1,0.7778,TRUE
12,9,0,12,56,0,0.875,0.666667,27,4,2,TRUE
11,33,0,11,165,0.333333,0.857143,0.666667,53,13,4.3333,TRUE
43,75,1,42,1079,1,0.73913,0.285714,152.857143,6,1.5714,TRUE
12,20,0,12,72,0,0,0.666667,35,6,3,TRUE
0,5,0,0,19,0,0,0,12,0,0,TRUE
13,31,1,12,199,0,0.882353,0.466667,65.333333,15,6,TRUE
0,5,0,0,30,0,0,0,12,0,0,TRUE
55,206,24,35,3049,0.4,0,0.137356,71.47619,23,6.1905,TRUE
10,32,2,8,233,1,0.5,0.444444,75.666667,11,4.6667,TRUE
14,12,0,14,56,1,0.8,0.75,26,3,1.5,TRUE
91,0,91,0,195,0,0,0,0,0,0,TRUE
20,43,2,18,482,1,0,0.633333,42.181818,12,4.1818,TRUE
37,110,0,37,794,1,0.823529,0.4375,157,27,7,TRUE
9,26,0,9,121,1,0.886364,0.333333,18.833333,8,2.3333,TRUE
15,15,0,15,49,0,0.88,0.666667,8.4,1,0.6,TRUE
16,17,0,16,85,0,0.8,0.666667,41,1,0.5,TRUE
14,21,0,14,102,0,0.875,0.625,50,6,3,TRUE
20,35,1,19,111,0,0,0.5,36,4,1.6667,TRUE
19,52,0,19,576,0.882353,0.916667,0.625,185.333333,1,0.3333,TRUE
30,40,1,29,151,0,0.96,0.555556,36,1,0.5,TRUE
1,0,1,0,16,0,0,0,0,0,0,TRUE
0,5,0,0,15,0,0,0,12,0,0,TRUE
25,37,0,25,181,0,0.8,0.666667,89.5,1,0.5,TRUE
4,6,0,4,14,0,0.8,0.583333,3.666667,1,0.6667,TRUE
31,38,3,28,231,0,0.939394,0.733333,37,1,0.6667,TRUE
0,5,0,0,15,0,0,0,12,0,0,TRUE
10,33,5,5,173,0.8,0,0.261905,7.842105,2,1.1053,TRUE
23,21,1,22,76,0,0.857143,0.6,37,1,0.5,TRUE
19,32,0,19,143,0,0.8,0.611111,19,1,0.7143,TRUE
25,56,0,25,790,1,0.75,0.220779,97,46,6.75,TRUE
24,38,1,23,238,0,0.963636,0.555556,57.25,1,0.5,TRUE
17,13,0,17,92,0,0.857143,0.6,45,1,0.5,TRUE
12,19,0,12,64,1,0.833333,0.666667,30.5,2,1,TRUE
23,39,0,23,156,0.5,0.625,0.416667,37.5,1,0.75,TRUE
9,13,0,9,43,0,0.92,0.555556,9,1,0.5,TRUE
13,21,0,13,77,0,0.875,0.625,37.5,8,4,TRUE
26,54,0,26,408,0,0.809524,0.342857,80.6,3,1.8,TRUE
3,0,3,0,44,0,0,0,0,0,0,TRUE
24,45,0,24,147,0,0,0.666667,72.5,2,1,TRUE
19,42,0,19,785,0,0.818182,0.44,155.2,14,4.6,TRUE
22,53,1,21,335,0,0.957447,0.5,54.333333,1,0.6667,TRUE
14,29,3,14,216,0.5,0.836735,1,22.111111,2,1,TRUE
8,13,0,8,52,0,0.875,0.625,25,4,2,TRUE
