@relation synapseA-weka.filters.supervised.instance.Resample-B0.0-S1-Z90.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z156.2005277

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,29,11,6,0.2,1.2857,FALSE
6,10,22,3,0.666667,0.8889,FALSE
20,59,2,20,0.75,0.6,FALSE
12,31,13,12,0.333333,1.6667,FALSE
4,1,0,2,0,1,FALSE
0,2,0,0,0,0,FALSE
7,15,3,7,0,1.3333,FALSE
10,2,1,2,0,1,FALSE
17,31,245,4,0.666667,1.3462,FALSE
13,28,2,13,1,1.5,FALSE
5,1,0,2,0,1,FALSE
8,18,4,6,0.666667,1.5,FALSE
14,33,6,14,0.8,1.4,FALSE
7,15,3,7,0,1.3333,FALSE
9,32,30,6,0.857143,1.4615,FALSE
10,23,13,10,0.333333,1.1667,FALSE
11,48,7,9,0.666667,1.8,FALSE
20,59,2,20,0.75,0.6,FALSE
15,32,9,14,0.777778,2.8333,FALSE
7,11,6,6,0.5,0.5,FALSE
25,79,66,24,0.5,2.7692,FALSE
56,47,1081,9,0,1,FALSE
13,14,5,10,0.75,0.6667,FALSE
8,21,16,5,0.875,1.75,FALSE
11,26,4,11,1,2.75,FALSE
8,18,0,6,1,3,FALSE
13,40,13,13,0.6,2.6667,FALSE
11,29,3,11,0,4,FALSE
11,13,15,11,0,0.8333,FALSE
10,23,13,10,0.333333,1.1667,FALSE
16,24,8,7,0.5,1.2,FALSE
9,13,6,9,0,0.75,FALSE
11,38,0,11,0.75,5.2857,FALSE
6,26,0,3,1,4.2,FALSE
10,24,11,9,0.666667,2.8333,FALSE
11,32,13,10,0.5,1.6667,FALSE
12,30,13,12,0.333333,2.1667,FALSE
9,32,30,6,0.857143,1.4615,FALSE
29,76,172,17,0.714286,1.875,FALSE
10,29,2,10,1,5,FALSE
2,4,0,0,1,0.6667,FALSE
21,47,0,19,1,1.6,FALSE
9,1,0,1,0,1,FALSE
20,37,13,19,0.5,1.8333,FALSE
6,26,0,3,1,4.2,FALSE
11,38,0,11,0.75,5.2857,FALSE
2,8,3,1,0,0,FALSE
8,18,0,6,1,3,FALSE
15,35,13,15,0.333333,2,FALSE
10,23,13,10,0.333333,1.1667,FALSE
14,67,0,13,1,10.4,FALSE
11,29,3,11,0,4,FALSE
8,20,8,8,0.857143,1.8,FALSE
15,32,9,14,0.777778,2.8333,FALSE
11,34,2,11,1,3.5,FALSE
12,65,3,11,0.5,7,FALSE
12,30,13,12,0.333333,2.1667,FALSE
5,9,4,5,1,0.5,FALSE
11,92,349,11,1,1.6296,FALSE
13,26,6,12,0.8,1.6,FALSE
12,1,0,2,0,1,FALSE
6,10,22,3,0.666667,0.8889,FALSE
8,8,4,7,1,0.75,FALSE
16,34,257,4,0.615385,1.2692,FALSE
16,34,257,4,0.615385,1.2692,FALSE
15,26,29,7,1,1.5714,FALSE
20,59,2,20,0.75,0.6,FALSE
5,5,1,4,0,0.5,FALSE
9,32,0,7,1,2.625,FALSE
11,18,10,9,1,0.6,FALSE
6,8,1,4,0,1.5,FALSE
11,24,6,11,1,1.75,FALSE
11,38,0,11,0.75,5.2857,FALSE
17,31,245,4,0.666667,1.3462,FALSE
9,28,6,9,0.666667,0.8,FALSE
18,70,143,17,0,2.2174,FALSE
7,29,11,6,0.2,1.2857,FALSE
13,26,6,12,0.8,1.6,FALSE
16,24,8,7,0.5,1.2,FALSE
24,61,30,24,0.75,0.8889,FALSE
13,28,2,13,1,1.5,FALSE
11,6,15,1,0,1,FALSE
12,30,13,12,0.333333,2.1667,FALSE
15,21,4,8,0.5,1,FALSE
12,14,1,5,0,1.5,FALSE
10,1,0,1,0,1,FALSE
11,92,349,11,1,1.6296,FALSE
13,26,6,12,0.8,1.6,FALSE
13,26,6,12,0.8,1.6,FALSE
8,19,9,1,1,1.2,FALSE
4,8,4,4,1,0.5,FALSE
8,24,3,8,0,2.6667,FALSE
2,28,87,1,1,0.9444,FALSE
10,23,13,10,0.333333,1.1667,FALSE
11,24,4,8,0,4.25,FALSE
8,11,1,6,1,0.3333,FALSE
16,31,245,4,0.666667,1.3462,FALSE
9,44,5,9,0.75,3.4286,FALSE
18,15,1,15,0,3.5,FALSE
7,22,11,4,1,1.9,FALSE
7,26,5,6,0.25,1.3333,FALSE
6,26,0,3,1,4.2,FALSE
1,8,0,0,1,1.4286,FALSE
7,9,1,7,0,0.5,FALSE
7,15,3,7,0,1.3333,FALSE
10,25,3,10,0,3.6667,FALSE
13,32,0,6,0.666667,0.9,FALSE
12,65,3,11,0.5,7,FALSE
25,35,20,14,0.8,1.75,FALSE
1,13,0,0,0,0.5,FALSE
15,26,29,7,1,1.5714,FALSE
10,23,13,10,0.333333,1.1667,FALSE
9,44,5,9,0.75,3.4286,FALSE
71,48,1128,10,0,1,FALSE
10,23,13,10,0.333333,1.1667,FALSE
43,7,21,1,0,1,FALSE
11,38,0,9,1,1.3636,FALSE
2,3,1,0,0,0,FALSE
8,19,9,1,1,1.2,FALSE
9,28,6,9,0.666667,0.8,FALSE
1,8,0,0,1,1.4286,FALSE
5,8,1,5,1,0.3333,FALSE
13,28,3,13,0,3.3333,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
11,41,6,11,0.923077,3.8,FALSE
13,14,0,2,1,1.4286,FALSE
10,20,0,7,1,0.8333,FALSE
7,15,3,7,0,1.3333,FALSE
4,2,1,2,0,1,FALSE
55,4,6,1,0,1,FALSE
13,60,34,9,0.375,2.4375,FALSE
11,33,6,11,0.666667,4.2,FALSE
11,38,0,11,0.75,5.2857,FALSE
6,22,0,3,1,3,FALSE
17,88,56,15,0.909091,2.125,FALSE
16,31,245,4,0.666667,1.3462,FALSE
4,2,1,2,0,1,FALSE
12,31,6,12,0.666667,2.4,FALSE
4,71,1025,3,1,1.2157,FALSE
12,32,0,10,1,2,FALSE
10,25,3,10,0,3.6667,FALSE
5,9,4,5,1,0.5,FALSE
17,88,56,15,0.909091,2.125,FALSE
11,24,6,11,1,1.75,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
16,55,14,12,1,3,FALSE
1,8,0,0,1,1.4286,FALSE
13,14,0,2,1,1.4286,FALSE
5,2,1,2,0,1,FALSE
31,48,37,11,1,2.9286,FALSE
8,18,0,6,1,3,FALSE
24,61,30,24,0.75,0.8889,FALSE
14,33,6,14,0.8,1.4,FALSE
14,68,28,13,0.666667,5.2222,FALSE
5,9,4,5,1,0.5,FALSE
19,70,53,13,0.666667,1.4286,FALSE
7,16,3,5,0,3.3333,FALSE
8,24,3,8,0,2.6667,FALSE
12,22,3,10,1,3.3333,FALSE
6,10,22,3,0.666667,0.8889,FALSE
10,27,0,8,1,2.6667,FALSE
2,8,3,1,0,0,FALSE
8,18,4,6,0.666667,1.5,FALSE
15,35,13,15,0.333333,2,FALSE
15,32,9,14,0.777778,2.8333,FALSE
9,28,6,9,0.666667,0.8,FALSE
13,39,28,13,0.666667,1.4444,FALSE
13,28,2,13,1,1.5,FALSE
8,19,9,1,1,1.2,FALSE
15,39,7,14,0.666667,4.1667,FALSE
7,22,11,4,1,1.9,FALSE
2,1,0,0,0,1,FALSE
13,34,2,13,1,4.5,FALSE
2,25,87,1,1,0.9444,FALSE
12,31,13,12,0.333333,1.6667,FALSE
55,4,6,1,0,1,FALSE
4,8,4,4,1,0.5,FALSE
7,4,6,1,0,1,FALSE
7,26,5,6,0.25,1.3333,FALSE
12,10,0,9,1,0.6,FALSE
10,12,66,3,0,1,FALSE
10,21,13,10,0.333333,1.1667,FALSE
12,29,2,12,1,2.25,FALSE
0,2,0,0,0,0,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
13,34,2,13,1,4.5,FALSE
10,33,28,10,0.666667,1.2222,FALSE
6,10,22,3,0.666667,0.8889,FALSE
8,24,3,8,0,2.6667,FALSE
14,46,0,9,1,3.2857,FALSE
13,40,13,13,0.6,2.6667,FALSE
17,61,6,16,0.8,6.4,FALSE
4,3,3,2,0,1,FALSE
8,2,1,2,0,1,FALSE
13,32,0,6,0.666667,0.9,FALSE
10,24,11,9,0.666667,2.8333,FALSE
13,34,2,13,1,4.5,FALSE
11,6,15,1,0,1,FALSE
1,8,0,0,1,1.4286,FALSE
10,1,0,1,0,1,FALSE
2,25,87,1,1,0.9444,FALSE
2,4,0,0,1,0.6667,FALSE
12,31,13,12,0.333333,1.6667,FALSE
14,17,10,2,0,2,FALSE
8,18,0,6,1,3,FALSE
13,31,4,9,0.5,3,FALSE
11,23,2,10,1,1.25,FALSE
8,21,16,5,0.875,1.75,FALSE
11,25,3,11,0,4.3333,FALSE
12,22,3,10,1,3.3333,FALSE
8,14,3,8,0,1.3333,FALSE
7,14,0,5,0,3,FALSE
10,23,13,10,0.333333,1.1667,FALSE
15,26,29,7,1,1.5714,FALSE
13,28,2,13,1,1.5,FALSE
15,39,7,14,0.666667,4.1667,FALSE
0,2,0,0,0,0,FALSE
14,17,10,2,0,2,FALSE
6,8,1,4,0,1.5,FALSE
14,33,6,14,0.8,1.4,FALSE
11,48,7,9,0.666667,1.8,FALSE
9,26,3,9,0,3.6667,FALSE
15,59,203,12,0.916667,1.6957,FALSE
11,27,6,10,0.8,1.2,FALSE
11,32,13,10,0.5,1.6667,FALSE
14,48,33,7,0.5,1.4,FALSE
12,30,13,12,0.333333,2.1667,FALSE
10,20,0,7,1,0.8333,FALSE
12,65,3,11,0.5,7,FALSE
13,40,13,13,0.6,2.6667,FALSE
