@relation luceneA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z92.30769231-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,19,15,0,4,0,FALSE
9,51,14,6,5,0.75,FALSE
11,37,3,10,6,0,FALSE
2,9,1,6,0,0,FALSE
13,30,0,6,11,1,FALSE
6,28,0,8,6,1,FALSE
4,6,6,3,3,0,FALSE
6,6,15,4,6,0,FALSE
6,33,3,16,6,1,FALSE
6,20,5,4,5,0,FALSE
5,5,10,0,5,0,FALSE
4,18,0,0,3,0.5,FALSE
7,21,0,6,5,0.333333,TRUE
6,17,3,3,4,1,TRUE
3,7,3,5,2,0,TRUE
5,20,0,6,0,1,TRUE
18,44,0,4,4,0.461538,TRUE
9,32,0,8,9,1,TRUE
23,28,247,14,22,1,TRUE
7,22,9,6,6,0.333333,TRUE
12,21,0,0,9,0,TRUE
14,38,0,6,11,1,TRUE
7,18,9,6,6,1,TRUE
4,38,0,5,0,0.5,TRUE
