@relation 'Keymind - BA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z24.05063291-no-replacement'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,2,0,0,43,0,9,FALSE
11,0,0,0,23,12,9,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,248,FALSE
0,0,0,0,-45,0,11,FALSE
0,0,0,0,-5,0,28,FALSE
7,4,0,0,27,110,54,FALSE
0,0,0,0,-17,0,0,FALSE
5,1,33,8,22,0,28,FALSE
2,1,0,0,23,0,4,FALSE
2,2,0,0,22,64,53,FALSE
0,0,0,0,-19,2,23,FALSE
9,0,0,0,23,0,13,FALSE
5,1,0,0,26,0,28,FALSE
2,0,0,0,27,6,23,FALSE
0,0,0,0,-41,12,22,FALSE
0,0,0,0,-23,0,9,FALSE
1,1,0,0,24,76,143,FALSE
12,4,0,0,44,64,144,TRUE
4,4,0,0,23,9,30,TRUE
4,4,0,0,45,5,35,TRUE
33,20,2,2,45,88,232,TRUE
1,0,0,0,43,17,10,TRUE
9,5,0,0,28,70,15,TRUE
14,4,0,0,27,0,26,TRUE
6,2,0,0,44,95,32,TRUE
30,18,450,37,25,86,35,TRUE
6,2,12,3,23,95,32,TRUE
9,5,31,8,24,70,15,TRUE
14,7,-176,-25,24,0,11,TRUE
10,5,92,18,22,0,12,TRUE
9,8,0,0,22,0,9,TRUE
9,3,0,0,44,0,20,TRUE
2,1,0,0,27,33,12,TRUE
5,3,0,0,17,0,28,TRUE
30,18,0,0,29,86,35,TRUE
