@relation antA-weka.filters.supervised.instance.Resample-B1.0-S1-Z38.755556-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,7,4,0,0,0.5,39,0,0.7,6.2,FALSE
4,20,3,4,1,1.5,124,0,1,40,FALSE
12,36,0,12,4,0.525,375,3,0.4,40.111111,FALSE
6,11,1,5,2,2,37,0,1,17.5,FALSE
2,35,38,0,17,0.631818,617,0,0.293651,27.857143,FALSE
3,26,53,0,9,0.9,725,1,0.26,64.818182,FALSE
21,155,1670,21,59,0.917188,1504,5,0.244141,21.830769,FALSE
10,59,103,5,14,0.77451,466,0,0.3,24.555556,FALSE
3,18,4,3,3,1,111,0,0.75,26.25,FALSE
15,83,142,13,8,0.78,799,5,0.186508,36.571429,FALSE
25,52,181,2,14,0.731405,1489,0,0.290909,63.26087,FALSE
7,14,6,7,4,0.625,70,0,0.8,12.6,FALSE
3,2,1,0,2,2,2,0,0.75,0,FALSE
6,12,10,3,3,2,86,0,0.533333,16.2,FALSE
25,44,45,10,13,0.619048,311,3,0.216667,19.333333,FALSE
3,8,1,3,2,2,28,0,0.75,13,FALSE
3,40,84,2,16,0.658333,604,2,0.291667,36.25,FALSE
7,15,13,3,11,0.75,97,3,0.220779,7.272727,FALSE
3,7,1,3,2,2,23,0,1,10.5,FALSE
8,16,0,3,3,0.583333,105,1,0.583333,19.4,FALSE
3,11,1,2,6,0.7,74,0,0.555556,10.666667,FALSE
8,91,123,8,3,0.806723,1400,0,0.141176,76,FALSE
3,3,3,1,3,2,3,0,0.666667,0,FALSE
6,4,6,1,4,2,4,0,0.5,0,FALSE
5,12,3,4,1,2,40,0,0.666667,12.333333,FALSE
7,32,9,7,5,0.75,128,1,0.5,17,FALSE
4,0,0,2,0,2,0,0,0,0,FALSE
1,14,28,0,8,2,274,0,0.45,33.25,FALSE
5,29,0,5,0,0,176,2,0.6,85.5,FALSE
12,38,4,10,6,0.52381,243,1,0.35,29,FALSE
52,102,560,26,38,0.796429,698,1,0.076352,15.853659,FALSE
1,10,2,0,4,0.866667,93,0,0.5,21,FALSE
51,102,301,13,24,0.603448,1238,1,0.121839,40.2,FALSE
