@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z118.9189189

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,6,1,6,0,FALSE
2,2,1,2,0,FALSE
10,27,7,8,0.2,FALSE
2,20,3,2,0,FALSE
2,4,3,1,0,FALSE
3,10,1,1,0,FALSE
2,16,2,2,0,FALSE
8,10,0,8,0,FALSE
4,12,2,2,0,FALSE
4,12,2,2,0,FALSE
5,9,2,5,1,FALSE
8,10,0,8,0,FALSE
2,20,3,2,0,FALSE
2,20,3,2,0,FALSE
4,25,4,2,0,FALSE
10,17,1,9,0,FALSE
6,25,3,2,0,FALSE
10,17,1,9,0,FALSE
1,1,1,1,0,FALSE
2,2,1,2,0,FALSE
2,20,3,2,0,FALSE
5,9,2,5,1,FALSE
1,1,1,1,0,FALSE
8,10,0,8,0,FALSE
8,10,0,8,0,FALSE
2,20,3,2,0,FALSE
3,7,0,3,1,FALSE
6,9,2,6,0,FALSE
8,10,0,8,0,FALSE
4,11,2,2,0,FALSE
1,1,1,1,0,FALSE
5,6,2,5,0,FALSE
5,9,2,5,1,FALSE
4,11,2,2,0,FALSE
1,1,1,1,0,FALSE
3,8,2,2,0,FALSE
7,30,6,2,0,FALSE
2,4,3,1,0,FALSE
4,11,2,2,0,FALSE
8,22,3,8,1,FALSE
3,6,0,3,1,FALSE
1,1,1,1,0,FALSE
8,31,6,2,0,FALSE
14,33,9,11,0.4,TRUE
2,20,3,2,0,TRUE
5,20,3,3,1,TRUE
4,10,2,4,0,TRUE
9,18,4,8,0.625,TRUE
0,0,0,0,0,TRUE
2,20,3,2,0,TRUE
4,10,2,4,0,TRUE
9,18,4,8,0.625,TRUE
0,0,0,0,0,TRUE
10,27,7,8,0.2,TRUE
13,62,9,8,0,TRUE
23,32,0,22,1,TRUE
5,20,3,3,1,TRUE
49,96,12,42,0.473684,TRUE
6,9,2,6,0,TRUE
13,40,4,2,0,TRUE
4,10,2,4,0,TRUE
2,4,1,1,0,TRUE
7,16,1,6,0.75,TRUE
5,14,0,2,0,TRUE
8,30,3,2,0,TRUE
15,48,8,9,0.421053,TRUE
14,33,9,11,0.4,TRUE
14,33,9,11,0.4,TRUE
7,13,1,7,0,TRUE
49,96,12,42,0.473684,TRUE
4,7,4,4,0,TRUE
5,17,1,2,0.333333,TRUE
5,20,3,3,1,TRUE
6,24,5,6,0.8,TRUE
14,33,9,11,0.4,TRUE
14,43,6,10,0.153846,TRUE
6,24,5,6,0.8,TRUE
0,0,0,0,0,TRUE
6,9,2,6,0,TRUE
14,43,6,10,0.153846,TRUE
5,17,1,2,0.333333,TRUE
13,62,9,8,0,TRUE
2,20,3,2,0,TRUE
5,17,1,2,0.333333,TRUE
6,24,5,6,0.8,TRUE
4,7,4,4,0,TRUE
