@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z85.71428571-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,5,1,2,0,FALSE
7,29,4,2,0,FALSE
2,22,2,2,0,FALSE
2,16,2,2,0,FALSE
5,15,0,1,0,FALSE
19,36,7,15,0.888889,TRUE
28,46,1,26,1,TRUE
2,20,3,2,0,TRUE
9,23,3,9,1,TRUE
49,96,12,42,0.473684,TRUE
