@relation velocityA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z61.9047619-no-replacement

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
4,10,0.666667,0.928571,0.666667,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
2,10,2,0.9,0.4,1,1,TRUE
1,11,0.7,0,0.192982,0,0,TRUE
1,6,0.8,0,0.227273,0,0,TRUE
2,20,0.533333,0.875,0.416667,1,2,TRUE
2,44,0.011905,0.505882,0.067604,0,0,TRUE
1,19,0,0,0.238636,0,0,TRUE
2,8,0.728571,0.52381,0.285714,0,0,TRUE
4,31,2,1,1,0,0,TRUE
2,5,0.75,0.521739,0.461538,0,0,TRUE
1,3,2,0,0.5,0,0,TRUE
1,8,2,0,0.625,0,0,FALSE
1,7,2,0,1,0,0,FALSE
2,2,2,0.5,1,0,0,FALSE
4,8,2,0.964286,0.666667,2,4,FALSE
3,6,0,0.960784,0.666667,3,3,FALSE
1,6,0,0,0.5,0,0,FALSE
1,7,0.878788,0,0.261905,0,0,FALSE
1,49,2,0,0.069767,0,0,FALSE
1,2,0.416667,0,0.466667,0,0,FALSE
1,28,2,0,0.5,0,0,FALSE
1,4,0.5,0,0.5,0,0,FALSE
2,4,2,0.714286,0.5,0,0,FALSE
