@relation velocityA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z61.9047619-no-replacement

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,10,2,0.9,0.4,1,1,TRUE
1,5,0.875,0,0.555556,0,0,TRUE
1,11,0.826667,0,0.226667,0,0,TRUE
1,21,2,0,0.295455,0,0,TRUE
2,4,0.75,0.636364,0.44,0,0,TRUE
1,2,0.866667,0,0.466667,0,0,TRUE
2,8,0.25,0.903226,0.433333,0,0,TRUE
1,33,0.794508,0,0.181633,0,0,TRUE
2,7,0.909091,0.914634,0.606061,1,1,TRUE
1,5,2,0,1,0,0,TRUE
1,4,2,0,0.777778,0,0,TRUE
1,1,2,0,0,0,0,TRUE
1,28,2,0,0.5,0,0,FALSE
2,5,2,0.965517,0.533333,0,0,FALSE
4,8,1.5,0.964286,0.666667,3,4,FALSE
1,7,2,0,1,0,0,FALSE
3,22,0.6,0.907407,0.75,0,0,FALSE
3,8,2,0.907407,0.5,2,2,FALSE
2,3,2,0.965517,0.533333,0,0,FALSE
1,1,0.5,0,0.5,0,0,FALSE
2,5,2,0.965517,0.533333,0,0,FALSE
4,8,2,0.964286,0.666667,2,4,FALSE
1,24,1.4375,0,0.5,0,0,FALSE
1,4,2,0,0.666667,0,0,FALSE
