@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,17,1,2,0,FALSE
2,4,2,1,0,FALSE
6,15,1,5,1,FALSE
13,35,1,11,0,FALSE
8,42,7,2,0,FALSE
0,0,0,0,0,FALSE
3,15,1,2,0.333333,FALSE
6,30,4,2,0,FALSE
27,80,10,22,0.055556,TRUE
14,43,6,10,0.153846,TRUE
9,27,4,6,0.076923,TRUE
2,4,1,1,0,TRUE
5,18,1,5,0.5,TRUE
22,95,15,8,0,TRUE
