@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,6,1,6,0,FALSE
8,41,14,2,0.461538,FALSE
4,5,2,4,0,FALSE
5,17,1,2,0.285714,FALSE
4,20,5,4,0,FALSE
5,15,0,2,0,FALSE
12,12,4,12,0,FALSE
4,19,3,2,0,FALSE
27,80,10,22,0.055556,TRUE
7,13,1,7,0,TRUE
22,51,7,18,0.133333,TRUE
6,25,4,1,0.75,TRUE
23,32,0,22,1,TRUE
5,6,2,5,0,TRUE
