@relation luceneA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z107.6923077

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,7,15,3,0,0,FALSE
5,6,0,0,0,0,FALSE
2,4,0,1,1,1,FALSE
2,4,0,1,1,1,FALSE
8,19,12,2,4,0.666667,FALSE
2,4,1,3,2,0,FALSE
2,4,1,1,1,0,FALSE
6,7,15,3,0,0,FALSE
2,4,1,1,1,0,FALSE
2,4,0,1,1,1,FALSE
7,10,21,1,7,0,FALSE
14,25,3,1,13,0,FALSE
2,4,1,3,2,0,FALSE
11,25,0,3,6,1,FALSE
10,10,45,0,10,0,FALSE
2,4,1,2,0,0,FALSE
9,32,0,9,7,1,FALSE
2,4,1,3,2,0,FALSE
7,10,21,1,7,0,FALSE
11,25,0,3,6,1,FALSE
6,7,15,3,0,0,FALSE
11,25,0,3,6,1,FALSE
4,7,6,2,1,0,FALSE
6,10,15,3,6,0,FALSE
10,18,0,2,10,1,FALSE
8,19,12,2,4,0.666667,FALSE
9,32,0,9,7,1,FALSE
2,4,0,1,1,1,FALSE
1,4,0,0,0,0,TRUE
7,46,0,12,7,1,TRUE
5,10,0,2,4,1,TRUE
14,17,91,0,14,0,TRUE
9,25,0,8,8,0,TRUE
9,25,0,8,8,0,TRUE
7,21,0,6,5,0.333333,TRUE
5,10,0,2,4,1,TRUE
14,32,1,17,13,0.5,TRUE
6,7,15,2,6,0,TRUE
3,13,1,10,3,1,TRUE
21,58,104,15,10,1,TRUE
23,28,247,13,22,1,TRUE
7,17,5,4,5,1,TRUE
5,21,0,3,0,0,TRUE
5,10,0,2,4,1,TRUE
5,21,0,3,0,0,TRUE
6,7,15,2,6,0,TRUE
7,21,0,6,5,0.333333,TRUE
27,80,193,13,21,1,TRUE
4,8,4,2,2,1,TRUE
17,35,72,7,4,1,TRUE
17,35,72,7,4,1,TRUE
14,29,67,22,12,0.333333,TRUE
4,8,4,2,2,1,TRUE
15,18,103,0,15,1,TRUE
14,32,1,17,13,0.5,TRUE
26,56,0,14,17,1,TRUE
