@relation velocityA-weka.filters.supervised.instance.Resample-B1.0-S1-Z62.11765-no-replacement

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,6,2,0.714286,0.45,0,0,TRUE
2,6,0.8,0.9,0.4,0,0,TRUE
1,4,2,0,0.666667,0,0,TRUE
2,7,0.4,0.666667,0.458333,1,1,TRUE
1,3,2,0,1,0,0,TRUE
1,2,0.504348,0,0.3125,0,0,TRUE
1,14,0.654545,0,0.246753,0,0,TRUE
1,5,2,0,1,0,0,TRUE
3,11,0.5,0.571429,0.428571,0,0,TRUE
1,10,2,0,0.133333,0,0,TRUE
1,5,2,0,0.3125,0,0,TRUE
2,11,0.75,0.5,0.333333,0,0,TRUE
1,4,2,0,1,0,0,TRUE
1,3,0.5,0,0.4,0,0,TRUE
1,67,2,0,0.238095,0,0,TRUE
1,1,2,0,0.875,0,0,TRUE
2,10,2,0.941176,1,1,1,TRUE
1,3,2,0,0.48,0,0,TRUE
2,5,2,0.964286,0.533333,0,0,TRUE
3,22,0,0.777778,0.38,1,4,TRUE
1,2,0.933333,0,0.233766,0,0,TRUE
2,6,0.25,0.733333,0.45,0,0,TRUE
3,13,1.019608,0.6,0.338235,1,2,TRUE
1,14,0.675926,0,0.369231,0,0,TRUE
1,17,0.5,0,0.177778,1,1,TRUE
2,39,0.013889,0.506849,0.078159,0,0,TRUE
2,8,0.5,0.588235,0.375,0,0,TRUE
1,6,0.8,0,0.227273,0,0,TRUE
2,10,2,0.9,0.371429,1,2,TRUE
1,46,2,0,1,0,0,TRUE
1,1,2,0,0.5,0,0,TRUE
1,5,2,0,0.266667,0,0,TRUE
2,10,2,0.931034,0.416667,1,1,TRUE
1,6,0.666667,0,0.625,0,0,TRUE
2,12,0.611111,0.84375,0.303571,0,0,TRUE
2,10,2,0.9,0.4,1,2,TRUE
3,6,2,0.875,0.722222,2,2,TRUE
3,11,2,0.727273,0.4375,1,1,TRUE
2,5,0.75,0.521739,0.461538,0,0,TRUE
1,12,0.686275,0,0.238095,0,0,TRUE
1,5,2,0,0.5,0,0,TRUE
1,45,1,0,0.064646,0,0,TRUE
2,6,2,0.875,0.75,0,0,TRUE
2,8,2,0.933333,0.416667,1,1,TRUE
1,18,0.690476,0,0.177778,0,0,TRUE
2,5,0.5,0.6,0.555556,1,2,TRUE
1,10,2,0,0.133333,0,0,TRUE
2,6,2,0.931034,0.416667,0,0,TRUE
1,2,0.333333,0,0.5,0,0,TRUE
1,16,0.848485,0,0.238095,0,0,TRUE
1,3,0.8,0,0.4,0,0,TRUE
2,21,0.789744,0.692308,0.253968,1,2,TRUE
1,1,0,0,0.464286,0,0,TRUE
1,7,0.6875,0,0.351852,0,0,TRUE
1,4,2,0,0.9,0,0,TRUE
2,8,2,0.933333,0.416667,1,1,TRUE
2,16,0.792857,0.333333,0.237037,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
2,13,0.75,0.6,0.466667,1,1,TRUE
1,11,2,0,1,0,0,TRUE
2,4,0.875,0.9,0.4,0,0,TRUE
2,10,2,0.9,0.4,1,1,TRUE
2,33,0.666667,0.842105,0.5,1,1,TRUE
2,8,0.728571,0.52381,0.285714,0,0,TRUE
1,11,2,0,0.625,0,0,TRUE
1,1,0.333333,0,0.625,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
4,5,0.9,0.75,0.375,1,3,TRUE
2,11,2,0.903226,0.4,2,2,TRUE
1,19,0.761905,0,0.3125,0,0,TRUE
1,5,2,0,0.5,0,0,TRUE
2,3,0.333333,0.558824,0.5,1,6,TRUE
1,64,2,0,0.222222,0,0,TRUE
1,27,0.836777,0,0.209877,0,0,TRUE
1,4,2,0,1,0,0,TRUE
2,8,2,0.9,0.4,1,2,TRUE
1,4,0.5,0,0.5,0,0,TRUE
2,18,0.642857,0.833333,0.28125,1,1,TRUE
2,11,2,0.903226,0.4,1,1,TRUE
1,6,0.625,0,0.466667,0,0,TRUE
1,5,0.4,0,0.388889,0,0,TRUE
2,2,2,0.714286,0.666667,1,2,TRUE
1,8,2,0,1,0,0,TRUE
2,4,0.25,0.666667,0.611111,0,0,TRUE
2,9,0.3125,0.9,0.433333,1,1,TRUE
1,21,2,0,0.295455,0,0,TRUE
1,5,2,0,1,0,0,TRUE
1,11,0.7,0,0.192982,0,0,TRUE
2,6,0,0.6,0.47619,1,2,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,13,1.333333,0,0.55,0,0,TRUE
