@relation luceneA-weka.filters.supervised.instance.Resample-B1.0-S1-Z106.538462

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,18,5,0,1,0.5,FALSE
6,20,5,4,5,0,FALSE
11,102,1,20,0,1,FALSE
2,3,1,0,2,0,FALSE
11,20,15,4,9,1,FALSE
5,14,0,4,0,0.333333,FALSE
5,6,0,0,0,0,FALSE
5,21,0,3,0,0,FALSE
10,18,0,2,10,1,FALSE
3,7,3,5,2,0,FALSE
2,9,1,1,2,0,FALSE
8,19,0,1,8,0,FALSE
7,14,0,1,7,1,FALSE
1,2,0,3,0,0,FALSE
1,2,0,0,1,0,FALSE
7,20,5,8,3,0,FALSE
2,5,1,0,0,0,FALSE
4,12,4,7,3,1,FALSE
9,14,8,2,6,1,FALSE
5,6,10,1,4,0,FALSE
5,18,0,1,4,0.4,FALSE
5,7,10,6,4,0,FALSE
7,13,0,5,6,0.5,FALSE
5,6,10,1,4,0,FALSE
10,37,0,4,9,1,FALSE
15,54,41,11,10,0.533333,FALSE
7,32,1,1,6,1,FALSE
6,6,15,4,6,0,FALSE
7,10,21,1,7,0,FALSE
5,7,6,3,4,1,FALSE
2,4,1,3,2,0,FALSE
11,42,0,6,10,1,FALSE
5,13,0,5,4,0.5,FALSE
11,20,15,4,9,1,FALSE
2,2,1,1,2,0,FALSE
2,4,1,1,1,0,FALSE
3,10,1,2,3,1,FALSE
1,2,0,0,1,0,FALSE
3,10,1,2,3,1,FALSE
18,39,0,3,17,0.833333,FALSE
5,5,10,0,5,0,FALSE
14,25,3,1,13,0,FALSE
14,17,89,0,14,1,FALSE
14,28,0,3,8,1,FALSE
14,25,3,1,13,0,FALSE
3,8,3,0,1,0,FALSE
6,19,15,0,4,0,FALSE
5,5,10,0,5,0,FALSE
2,3,1,2,2,0,FALSE
2,12,1,7,1,0,FALSE
5,18,0,1,4,0.4,FALSE
10,10,45,0,10,0,FALSE
7,10,21,1,7,0,FALSE
6,15,0,3,6,1,FALSE
2,3,1,0,2,0,FALSE
5,5,10,0,5,0,FALSE
2,10,1,5,2,1,FALSE
12,29,26,7,7,1,FALSE
5,15,0,2,5,1,FALSE
6,8,15,1,6,0,FALSE
10,37,0,4,9,1,FALSE
2,4,1,3,2,0,FALSE
5,7,6,3,4,1,FALSE
4,6,0,0,2,0.125,FALSE
4,17,6,0,4,0,FALSE
2,4,1,3,2,0,FALSE
6,10,15,3,6,0,FALSE
1,1,0,1,1,0,FALSE
3,17,1,4,2,1,FALSE
14,25,3,1,13,0,FALSE
10,10,45,0,10,0,FALSE
2,10,1,5,2,1,FALSE
13,36,58,7,13,1,FALSE
3,6,3,4,2,0,FALSE
4,18,0,0,3,0.5,FALSE
4,8,4,2,2,1,FALSE
6,28,0,8,6,1,FALSE
7,13,15,3,7,1,FALSE
5,10,0,2,4,1,FALSE
3,4,3,0,3,0,FALSE
1,2,0,2,0,0,FALSE
2,5,1,0,0,0,FALSE
6,19,15,0,4,0,FALSE
7,30,0,13,4,0,FALSE
6,19,15,0,4,0,FALSE
3,9,3,3,0,0,FALSE
3,9,3,3,0,0,FALSE
9,10,2,0,8,0.666667,FALSE
2,10,1,5,2,1,FALSE
6,10,15,3,6,0,FALSE
8,8,28,2,8,0,FALSE
14,17,89,0,14,1,FALSE
13,31,0,6,11,1,FALSE
6,28,0,8,6,1,FALSE
2,4,1,1,1,0,FALSE
5,20,0,5,5,1,FALSE
13,21,64,0,11,1,FALSE
5,14,0,4,0,0.333333,FALSE
2,3,1,2,2,0,FALSE
2,2,1,1,2,0,FALSE
8,15,0,2,0,1,FALSE
6,6,15,4,6,0,FALSE
5,18,0,1,4,0.4,FALSE
6,19,15,0,4,0,FALSE
2,2,1,2,2,0,FALSE
7,13,0,5,6,0.5,FALSE
13,31,0,6,11,1,FALSE
6,20,5,4,5,0,FALSE
2,6,0,3,2,0,FALSE
5,18,0,1,4,0.4,FALSE
2,4,0,2,2,1,FALSE
18,39,0,3,17,0.833333,FALSE
4,18,6,0,3,0,FALSE
2,3,1,1,2,0,FALSE
3,4,3,0,3,0,FALSE
2,5,1,0,1,0,FALSE
5,15,0,2,5,1,FALSE
16,53,0,21,14,1,FALSE
6,10,15,3,6,0,FALSE
4,12,4,7,3,1,FALSE
5,18,0,1,4,0.4,FALSE
6,15,0,3,6,1,FALSE
3,6,3,4,2,0,FALSE
1,2,0,0,1,0,FALSE
3,7,3,5,2,0,FALSE
10,12,17,1,8,0.75,FALSE
2,5,1,0,0,0,FALSE
5,5,10,0,5,0,FALSE
14,29,53,4,6,1,FALSE
5,6,0,0,0,0,FALSE
6,18,5,0,1,0.5,FALSE
10,38,0,4,9,1,FALSE
2,4,1,2,0,0,FALSE
2,6,0,3,2,0,FALSE
12,29,26,7,7,1,FALSE
6,12,3,4,5,0,FALSE
1,2,0,0,1,0,FALSE
2,5,0,5,2,0,FALSE
4,18,6,0,3,0,FALSE
13,39,72,7,12,1,FALSE
8,29,16,1,6,1,FALSE
14,28,0,3,8,1,FALSE
1,1,0,2,1,0,FALSE
8,8,28,2,8,0,FALSE
7,8,21,3,0,0,FALSE
6,28,0,8,6,1,FALSE
14,24,69,13,12,0.571429,FALSE
2,16,0,5,1,1,FALSE
2,5,0,5,2,0,FALSE
4,8,6,0,4,0,FALSE
4,14,4,3,2,0,FALSE
5,6,10,3,0,0,FALSE
7,10,21,1,7,0,FALSE
13,34,0,7,6,1,FALSE
6,19,15,0,4,0,FALSE
14,29,53,4,6,1,FALSE
3,7,3,4,3,0,FALSE
12,29,26,7,7,1,FALSE
6,14,0,1,5,0,FALSE
1,2,0,3,0,0,FALSE
13,31,0,6,11,1,FALSE
12,12,66,0,12,0,FALSE
2,7,1,0,2,0,FALSE
2,2,1,1,2,0,FALSE
6,18,5,0,1,0.5,FALSE
6,19,15,0,4,0,FALSE
6,8,15,1,6,0,FALSE
10,24,0,5,10,1,FALSE
