@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z81.08108108-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,6,3,3,0,FALSE
3,10,1,1,0,FALSE
5,15,0,1,0,FALSE
7,26,2,2,0,FALSE
5,9,2,5,1,FALSE
6,8,3,6,0,FALSE
1,3,1,0,0,FALSE
8,31,6,2,0,FALSE
1,2,1,0,0,FALSE
8,42,7,2,0,FALSE
10,42,6,6,1,FALSE
2,16,3,1,0,FALSE
10,37,2,7,0,FALSE
5,15,0,1,0,FALSE
4,5,2,4,0,FALSE
9,19,2,7,0,FALSE
2,2,1,2,0,FALSE
1,1,1,1,0,FALSE
4,8,2,4,1,FALSE
4,11,0,2,0,FALSE
6,9,2,6,0,FALSE
5,6,2,5,0,FALSE
2,20,3,2,0,FALSE
3,8,2,2,0,FALSE
5,18,1,5,0.5,FALSE
7,30,6,2,0,FALSE
7,32,4,2,0,FALSE
5,16,0,2,0,FALSE
2,2,1,2,0,FALSE
19,43,7,13,0.666667,TRUE
2,22,2,2,0,TRUE
2,20,3,2,0,TRUE
8,30,3,2,0,TRUE
4,25,6,2,0,TRUE
28,46,1,26,1,TRUE
13,38,5,11,0,TRUE
12,35,10,11,0.064516,TRUE
4,25,4,3,0.5,TRUE
8,41,14,2,0.461538,TRUE
5,14,0,2,0,TRUE
1,1,1,1,0,TRUE
3,3,0,3,0,TRUE
8,22,3,4,1,TRUE
22,35,9,21,0.875,TRUE
4,10,2,4,0,TRUE
7,30,6,2,0,TRUE
11,27,6,11,0.555556,TRUE
2,5,1,1,1,TRUE
19,40,4,14,0.5,TRUE
18,55,11,12,0.47619,TRUE
15,63,6,12,0,TRUE
22,95,15,8,0,TRUE
14,42,11,9,0,TRUE
2,4,0,2,0,TRUE
3,13,3,2,1,TRUE
6,10,2,2,0,TRUE
27,80,10,22,0.055556,TRUE
10,16,3,0,1,TRUE
