@relation 'Keymind - BA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z173.3333333'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,1,0,0,43,7,10,FALSE
5,1,-9,-2,21,0,26,FALSE
5,1,-9,-2,21,0,26,FALSE
0,0,0,0,-23,1,11,FALSE
0,0,0,0,-19,0,466,FALSE
5,1,-9,-2,21,0,26,FALSE
0,0,0,0,-23,1,11,FALSE
0,0,0,0,-19,15,27,FALSE
0,0,0,0,-23,0,466,FALSE
2,0,0,0,25,0,119,FALSE
0,0,0,0,-19,0,248,FALSE
0,0,0,0,-1,0,38,FALSE
12,4,179,22,23,64,144,TRUE
2,1,0,0,44,33,12,TRUE
12,4,179,22,23,64,144,TRUE
12,4,179,22,23,64,144,TRUE
2,1,0,0,44,33,12,TRUE
2,1,0,0,44,33,12,TRUE
12,4,179,22,23,64,144,TRUE
12,4,179,22,23,64,144,TRUE
2,1,0,0,44,33,12,TRUE
2,1,0,0,44,33,12,TRUE
2,1,0,0,44,33,12,TRUE
2,1,0,0,44,33,12,TRUE
