@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z5.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z163.636364

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,22,6,5,2,2,121,0,0.75,29.25,FALSE
8,1,0,2,1,2,1,0,1,0,FALSE
13,48,58,13,12,0.786667,485,2,0.25,28.6875,FALSE
14,29,0,9,6,0.7,224,2,0.416667,35.666667,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
7,19,3,6,2,1,93,0,0.5,29.666667,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
1,10,0,1,1,0,67,1,0.666667,20.333333,FALSE
12,26,9,9,4,1.041667,106,0,0.428571,13,FALSE
7,28,20,5,12,0.809524,183,2,0.3,12.538462,FALSE
4,7,0,3,3,0,33,0,0.666667,9.666667,FALSE
8,1,0,2,1,2,1,0,1,0,FALSE
4,7,0,3,3,0,33,0,0.666667,9.666667,FALSE
8,20,0,4,4,0.777778,106,1,0.625,24.75,FALSE
5,1,0,1,1,2,1,0,1,0,FALSE
12,26,9,9,4,1.041667,106,0,0.428571,13,FALSE
10,26,6,9,2,1,195,0,0.5,47.5,FALSE
5,18,0,4,5,0.708333,126,0,0.47619,16.428571,FALSE
0,0,0,0,0,2,0,0,0,0,FALSE
5,1,0,1,1,2,1,0,1,0,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
7,28,20,5,12,0.809524,183,2,0.3,12.538462,FALSE
98,7,0,1,5,0,33,1,0.45,5.4,FALSE
12,36,0,12,4,0.525,375,3,0.4,40.111111,FALSE
6,32,6,6,1,2,325,0,0.75,80.25,FALSE
12,26,9,9,4,1.041667,106,0,0.428571,13,FALSE
9,24,1,8,2,2,222,0,1,110,FALSE
9,24,1,8,2,2,222,0,1,110,FALSE
7,22,6,5,2,2,121,0,0.75,29.25,FALSE
3,6,3,2,2,2,16,0,0.333333,4.333333,FALSE
5,1,0,1,1,2,1,0,1,0,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
13,48,58,13,12,0.786667,480,2,0.25,28.375,FALSE
8,1,0,2,1,2,1,0,1,0,FALSE
8,32,15,6,10,0.666667,166,1,0.3,15.3,FALSE
98,7,0,1,5,0,33,1,0.45,5.4,FALSE
98,7,0,1,5,0,33,1,0.45,5.4,FALSE
10,26,6,9,2,1,195,0,0.5,47.5,FALSE
8,20,0,4,4,0.777778,106,1,0.625,24.75,FALSE
10,26,6,9,2,1,195,0,0.5,47.5,FALSE
6,32,6,6,1,2,325,0,0.75,80.25,FALSE
98,7,0,1,5,0,33,1,0.45,5.4,FALSE
0,0,0,0,0,2,0,0,0,0,FALSE
7,22,6,5,2,2,121,0,0.75,29.25,FALSE
